frequency	e'	e''	u'	u''
2000000000.0000	   8.7372	   6.2833	   1.0950	   0.0761
2080000000.0000	   8.6038	   6.2132	   1.0899	   0.0730
2160000000.0000	   8.4928	   6.1115	   1.0875	   0.0716
2240000000.0000	   8.3748	   6.0334	   1.0978	   0.0703
2320000000.0000	   8.2626	   5.9606	   1.0883	   0.0613
2400000000.0000	   8.1693	   5.8742	   1.0895	   0.0624
2480000000.0000	   8.0633	   5.8231	   1.0865	   0.0604
2560000000.0000	   7.9883	   5.7343	   1.0782	   0.0562
2640000000.0000	   7.8846	   5.6798	   1.0774	   0.0620
2720000000.0000	   7.8131	   5.6290	   1.0725	   0.0536
2800000000.0000	   7.7459	   5.5468	   1.0655	   0.0584
2880000000.0000	   7.6565	   5.5216	   1.0684	   0.0551
2960000000.0000	   7.6184	   5.4512	   1.0520	   0.0498
3040000000.0000	   7.5215	   5.3956	   1.0600	   0.0575
3120000000.0000	   7.4717	   5.3767	   1.0515	   0.0447
3200000000.0000	   7.4010	   5.2952	   1.0405	   0.0503
3280000000.0000	   7.3236	   5.2981	   1.0495	   0.0503
3360000000.0000	   7.2926	   5.2289	   1.0317	   0.0424
3440000000.0000	   7.1807	   5.1842	   1.0395	   0.0509
3520000000.0000	   7.1509	   5.1807	   1.0323	   0.0424
3600000000.0000	   7.0844	   5.0900	   1.0274	   0.0489
3680000000.0000	   6.9962	   5.0927	   1.0373	   0.0453
3760000000.0000	   6.9613	   5.0377	   1.0197	   0.0401
3840000000.0000	   6.8597	   4.9983	   1.0294	   0.0483
3920000000.0000	   6.8172	   4.9940	   1.0235	   0.0389
4000000000.0000	   6.7474	   4.9171	   1.0220	   0.0427
4080000000.0000	   6.6566	   4.9241	   1.0309	   0.0416
4160000000.0000	   6.6165	   4.8787	   1.0230	   0.0355
4240000000.0000	   6.5339	   4.8410	   1.0332	   0.0417
4320000000.0000	   6.4713	   4.8279	   1.0344	   0.0348
4400000000.0000	   6.4158	   4.7694	   1.0350	   0.0361
