frequency	e'	e''	u'	u''
2000000000.0000	   8.4097	   5.9146	   1.1552	   0.2019
2080000000.0000	   8.2640	   5.8667	   1.1467	   0.1936
2160000000.0000	   8.1514	   5.8115	   1.1448	   0.1767
2240000000.0000	   8.0324	   5.7502	   1.1472	   0.1685
2320000000.0000	   7.9041	   5.7057	   1.1423	   0.1499
2400000000.0000	   7.8149	   5.6509	   1.1384	   0.1393
2480000000.0000	   7.6932	   5.6042	   1.1363	   0.1320
2560000000.0000	   7.6113	   5.5548	   1.1312	   0.1163
2640000000.0000	   7.5073	   5.5024	   1.1246	   0.1153
2720000000.0000	   7.4138	   5.4733	   1.1285	   0.1009
2800000000.0000	   7.3494	   5.4120	   1.1185	   0.0946
2880000000.0000	   7.2464	   5.3777	   1.1219	   0.0891
2960000000.0000	   7.2014	   5.3372	   1.1144	   0.0764
3040000000.0000	   7.1118	   5.2756	   1.1163	   0.0798
3120000000.0000	   7.0409	   5.2610	   1.1163	   0.0660
3200000000.0000	   6.9820	   5.2002	   1.1046	   0.0637
3280000000.0000	   6.9002	   5.1837	   1.1120	   0.0654
3360000000.0000	   6.8557	   5.1416	   1.1022	   0.0545
3440000000.0000	   6.7616	   5.0943	   1.1028	   0.0593
3520000000.0000	   6.7123	   5.0836	   1.1022	   0.0532
3600000000.0000	   6.6492	   5.0224	   1.0981	   0.0536
3680000000.0000	   6.5643	   5.0027	   1.1043	   0.0514
3760000000.0000	   6.5080	   4.9661	   1.0956	   0.0460
3840000000.0000	   6.4243	   4.9314	   1.0994	   0.0491
3920000000.0000	   6.3610	   4.9116	   1.0978	   0.0441
4000000000.0000	   6.2876	   4.8638	   1.1005	   0.0438
4080000000.0000	   6.2058	   4.8480	   1.1041	   0.0422
4160000000.0000	   6.1393	   4.8150	   1.1054	   0.0390
4240000000.0000	   6.0697	   4.7874	   1.1117	   0.0406
4320000000.0000	   5.9922	   4.7554	   1.1157	   0.0376
4400000000.0000	   5.9224	   4.7245	   1.1221	   0.0364
4480000000.0000	   5.8399	   4.6954	   1.1268	   0.0369
4560000000.0000	   5.7623	   4.6729	   1.1334	   0.0348
4640000000.0000	   5.6946	   4.6440	   1.1397	   0.0352
4720000000.0000	   5.6100	   4.6188	   1.1490	   0.0362
4800000000.0000	   5.5504	   4.6089	   1.1539	   0.0324
4880000000.0000	   5.4764	   4.5707	   1.1623	   0.0362
4960000000.0000	   5.4058	   4.5661	   1.1683	   0.0298
5040000000.0000	   5.3597	   4.5301	   1.1709	   0.0328
5120000000.0000	   5.2798	   4.5162	   1.1806	   0.0335
5200000000.0000	   5.2409	   4.4961	   1.1806	   0.0282
5280000000.0000	   5.1743	   4.4618	   1.1875	   0.0330
5360000000.0000	   5.1283	   4.4581	   1.1896	   0.0257
5440000000.0000	   5.0838	   4.4227	   1.1886	   0.0273
