frequency	e'	e''	u'	u''
2000000000.0000	   6.0030	   6.7877	   1.2059	   0.1855
2080000000.0000	   5.8796	   6.6151	   1.1969	   0.1966
2160000000.0000	   5.7830	   6.4687	   1.1974	   0.2003
2240000000.0000	   5.7023	   6.3101	   1.1890	   0.2097
2320000000.0000	   5.5942	   6.1837	   1.1802	   0.2034
2400000000.0000	   5.5426	   6.0661	   1.1629	   0.2020
2480000000.0000	   5.4611	   5.9419	   1.1447	   0.2057
2560000000.0000	   5.4010	   5.8438	   1.1310	   0.1928
2640000000.0000	   5.3480	   5.7342	   1.1006	   0.1935
2720000000.0000	   5.2744	   5.6521	   1.0953	   0.1809
2800000000.0000	   5.2523	   5.5665	   1.0670	   0.1673
2880000000.0000	   5.1833	   5.4766	   1.0562	   0.1602
2960000000.0000	   5.1486	   5.4115	   1.0416	   0.1377
3040000000.0000	   5.0997	   5.3179	   1.0296	   0.1313
3120000000.0000	   5.0367	   5.2635	   1.0267	   0.1087
3200000000.0000	   5.0018	   5.1873	   1.0090	   0.0936
3280000000.0000	   4.9424	   5.1216	   1.0120	   0.0881
3360000000.0000	   4.9007	   5.0606	   1.0078	   0.0667
3440000000.0000	   4.8400	   4.9824	   1.0049	   0.0604
3520000000.0000	   4.7965	   4.9337	   1.0084	   0.0511
3600000000.0000	   4.7481	   4.8517	   1.0100	   0.0443
3680000000.0000	   4.6888	   4.7878	   1.0194	   0.0359
3760000000.0000	   4.6419	   4.7264	   1.0182	   0.0279
3840000000.0000	   4.5895	   4.6561	   1.0242	   0.0280
3920000000.0000	   4.5466	   4.5936	   1.0277	   0.0255
4000000000.0000	   4.4943	   4.5267	   1.0381	   0.0251
4080000000.0000	   4.4506	   4.4681	   1.0419	   0.0242
4160000000.0000	   4.4039	   4.4028	   1.0485	   0.0260
4240000000.0000	   4.3657	   4.3489	   1.0568	   0.0298
4320000000.0000	   4.3224	   4.2817	   1.0629	   0.0329
4400000000.0000	   4.2767	   4.2303	   1.0739	   0.0362
4480000000.0000	   4.2378	   4.1794	   1.0762	   0.0391
