frequency	e'	e''	u'	u''
2000000000.0000	   6.3487	   4.9873	   1.2294	   0.2126
2080000000.0000	   6.2577	   4.9057	   1.2300	   0.2108
2160000000.0000	   6.1843	   4.8311	   1.2398	   0.2015
2240000000.0000	   6.1170	   4.7429	   1.2487	   0.2045
2320000000.0000	   6.0258	   4.6798	   1.2564	   0.1963
2400000000.0000	   5.9858	   4.6083	   1.2586	   0.1969
2480000000.0000	   5.9165	   4.5362	   1.2607	   0.2071
2560000000.0000	   5.8721	   4.4759	   1.2646	   0.2089
2640000000.0000	   5.8331	   4.4064	   1.2518	   0.2284
2720000000.0000	   5.7846	   4.3567	   1.2553	   0.2404
2800000000.0000	   5.7837	   4.3015	   1.2328	   0.2560
2880000000.0000	   5.7465	   4.2537	   1.2169	   0.2779
2960000000.0000	   5.7487	   4.2300	   1.1857	   0.2860
3040000000.0000	   5.7292	   4.1933	   1.1510	   0.3042
3120000000.0000	   5.7035	   4.2045	   1.1152	   0.2984
3200000000.0000	   5.6877	   4.2033	   1.0600	   0.2889
3280000000.0000	   5.6298	   4.2208	   1.0285	   0.2719
3360000000.0000	   5.5762	   4.2368	   0.9933	   0.2316
3440000000.0000	   5.4822	   4.2244	   0.9769	   0.1995
3520000000.0000	   5.4022	   4.2244	   0.9751	   0.1602
3600000000.0000	   5.3104	   4.1747	   0.9794	   0.1318
3680000000.0000	   5.2090	   4.1355	   0.9977	   0.1075
3760000000.0000	   5.1300	   4.0835	   1.0081	   0.0880
3840000000.0000	   5.0486	   4.0161	   1.0268	   0.0821
3920000000.0000	   4.9856	   3.9588	   1.0420	   0.0772
4000000000.0000	   4.9206	   3.8864	   1.0609	   0.0783
4080000000.0000	   4.8688	   3.8333	   1.0737	   0.0802
4160000000.0000	   4.8221	   3.7697	   1.0854	   0.0842
4240000000.0000	   4.7823	   3.7155	   1.0980	   0.0935
4320000000.0000	   4.7379	   3.6560	   1.1079	   0.1004
4400000000.0000	   4.6996	   3.6110	   1.1188	   0.1071
4480000000.0000	   4.6644	   3.5688	   1.1229	   0.1143
4560000000.0000	   4.6218	   3.5330	   1.1309	   0.1229
4640000000.0000	   4.5955	   3.5020	   1.1347	   0.1278
4720000000.0000	   4.5537	   3.4698	   1.1426	   0.1368
4800000000.0000	   4.5247	   3.4603	   1.1452	   0.1371
4880000000.0000	   4.4932	   3.4267	   1.1487	   0.1450
4960000000.0000	   4.4538	   3.4240	   1.1519	   0.1434
5040000000.0000	   4.4367	   3.4010	   1.1496	   0.1478
5120000000.0000	   4.3900	   3.3899	   1.1564	   0.1514
5200000000.0000	   4.3665	   3.3865	   1.1535	   0.1463
5280000000.0000	   4.3330	   3.3672	   1.1550	   0.1511
5360000000.0000	   4.3025	   3.3711	   1.1544	   0.1434
5440000000.0000	   4.2745	   3.3565	   1.1488	   0.1430
5520000000.0000	   4.2404	   3.3580	   1.1504	   0.1422
5600000000.0000	   4.2223	   3.3510	   1.1425	   0.1374
5680000000.0000	   4.1896	   3.3327	   1.1447	   0.1371
5760000000.0000	   4.1627	   3.3371	   1.1373	   0.1300
5840000000.0000	   4.1344	   3.3192	   1.1342	   0.1296
5920000000.0000	   4.1133	   3.3209	   1.1336	   0.1240
6000000000.0000	   4.0916	   3.2961	   1.1276	   0.1196
6080000000.0000	   4.0568	   3.2951	   1.1255	   0.1150
