frequency	e'	e''	u'	u''
2000000000.0000	   6.0388	   6.6715	   1.1776	   0.1667
2080000000.0000	   5.9232	   6.5163	   1.1697	   0.1678
2160000000.0000	   5.8277	   6.3803	   1.1750	   0.1606
2240000000.0000	   5.7488	   6.2338	   1.1746	   0.1625
2320000000.0000	   5.6372	   6.1166	   1.1750	   0.1501
2400000000.0000	   5.5842	   6.0039	   1.1703	   0.1450
2480000000.0000	   5.4971	   5.8817	   1.1630	   0.1470
2560000000.0000	   5.4362	   5.7868	   1.1638	   0.1366
2640000000.0000	   5.3804	   5.6767	   1.1444	   0.1421
2720000000.0000	   5.3085	   5.5908	   1.1505	   0.1368
2800000000.0000	   5.2873	   5.5021	   1.1309	   0.1335
2880000000.0000	   5.2220	   5.4098	   1.1258	   0.1377
2960000000.0000	   5.1960	   5.3441	   1.1154	   0.1281
3040000000.0000	   5.1550	   5.2462	   1.1050	   0.1347
3120000000.0000	   5.1045	   5.1951	   1.0992	   0.1260
3200000000.0000	   5.0794	   5.1239	   1.0766	   0.1225
3280000000.0000	   5.0299	   5.0638	   1.0721	   0.1270
3360000000.0000	   4.9990	   5.0147	   1.0584	   0.1140
3440000000.0000	   4.9465	   4.9498	   1.0454	   0.1130
3520000000.0000	   4.9095	   4.9150	   1.0378	   0.1052
3600000000.0000	   4.8622	   4.8517	   1.0288	   0.0980
3680000000.0000	   4.8013	   4.8055	   1.0290	   0.0880
3760000000.0000	   4.7501	   4.7605	   1.0197	   0.0759
3840000000.0000	   4.6889	   4.7054	   1.0193	   0.0707
3920000000.0000	   4.6331	   4.6561	   1.0186	   0.0617
4000000000.0000	   4.5680	   4.5974	   1.0271	   0.0555
4080000000.0000	   4.5099	   4.5462	   1.0305	   0.0474
4160000000.0000	   4.4493	   4.4832	   1.0382	   0.0446
4240000000.0000	   4.3960	   4.4281	   1.0485	   0.0451
4320000000.0000	   4.3397	   4.3592	   1.0573	   0.0451
4400000000.0000	   4.2830	   4.3025	   1.0711	   0.0463
4480000000.0000	   4.2335	   4.2425	   1.0764	   0.0480
4560000000.0000	   4.1794	   4.1874	   1.0878	   0.0550
4640000000.0000	   4.1421	   4.1371	   1.0949	   0.0575
4720000000.0000	   4.0921	   4.0799	   1.1050	   0.0666
4800000000.0000	   4.0528	   4.0493	   1.1109	   0.0670
4880000000.0000	   4.0202	   3.9926	   1.1156	   0.0743
4960000000.0000	   3.9741	   3.9668	   1.1212	   0.0736
5040000000.0000	   3.9552	   3.9264	   1.1197	   0.0780
5120000000.0000	   3.9113	   3.8934	   1.1271	   0.0828
5200000000.0000	   3.8864	   3.8726	   1.1255	   0.0786
5280000000.0000	   3.8603	   3.8369	   1.1259	   0.0826
5360000000.0000	   3.8299	   3.8233	   1.1253	   0.0754
5440000000.0000	   3.8060	   3.7958	   1.1194	   0.0738
5520000000.0000	   3.7795	   3.7815	   1.1200	   0.0719
5600000000.0000	   3.7638	   3.7643	   1.1116	   0.0668
5680000000.0000	   3.7388	   3.7354	   1.1134	   0.0642
5760000000.0000	   3.7159	   3.7293	   1.1051	   0.0555
5840000000.0000	   3.6928	   3.7053	   1.1016	   0.0526
5920000000.0000	   3.6824	   3.6977	   1.1003	   0.0434
6000000000.0000	   3.6648	   3.6663	   1.0940	   0.0370
6080000000.0000	   3.6373	   3.6615	   1.0914	   0.0291
6160000000.0000	   3.6391	   3.6411	   1.0858	   0.0256
6240000000.0000	   3.6112	   3.6162	   1.0884	   0.0181
6320000000.0000	   3.6022	   3.6010	   1.0832	   0.0082
6400000000.0000	   3.5844	   3.5755	   1.0803	   0.0070
6480000000.0000	   3.5697	   3.5588	   1.0823	  -0.0017
6560000000.0000	   3.5609	   3.5269	   1.0797	  -0.0051
6640000000.0000	   3.5337	   3.5146	   1.0808	  -0.0112
6720000000.0000	   3.5330	   3.4942	   1.0771	  -0.0145
6800000000.0000	   3.5143	   3.4699	   1.0793	  -0.0159
6880000000.0000	   3.4996	   3.4465	   1.0792	  -0.0209
6960000000.0000	   3.4872	   3.4204	   1.0804	  -0.0218
7040000000.0000	   3.4771	   3.4068	   1.0806	  -0.0260
7120000000.0000	   3.4643	   3.3716	   1.0796	  -0.0262
