frequency	e'	e''	u'	u''
2000000000.0000	  12.7505	  14.8437	   1.1808	   0.1609
2080000000.0000	  12.4030	  14.5885	   1.1727	   0.1585
2160000000.0000	  12.1111	  14.3859	   1.1781	   0.1450
2240000000.0000	  11.8458	  14.1414	   1.1801	   0.1423
2320000000.0000	  11.5380	  13.9360	   1.1797	   0.1275
2400000000.0000	  11.3307	  13.7472	   1.1749	   0.1170
2480000000.0000	  11.0598	  13.5295	   1.1699	   0.1162
2560000000.0000	  10.8570	  13.3701	   1.1700	   0.1013
2640000000.0000	  10.6367	  13.1642	   1.1552	   0.1065
2720000000.0000	  10.4175	  13.0245	   1.1629	   0.0958
2800000000.0000	  10.2710	  12.8489	   1.1484	   0.0919
2880000000.0000	  10.0463	  12.6902	   1.1486	   0.0907
2960000000.0000	   9.9139	  12.5648	   1.1406	   0.0788
3040000000.0000	   9.7368	  12.3715	   1.1369	   0.0841
3120000000.0000	   9.5644	  12.2733	   1.1365	   0.0718
3200000000.0000	   9.4253	  12.1042	   1.1193	   0.0715
3280000000.0000	   9.2385	  11.9955	   1.1256	   0.0766
3360000000.0000	   9.1361	  11.8682	   1.1141	   0.0647
3440000000.0000	   8.9504	  11.7014	   1.1076	   0.0722
3520000000.0000	   8.8151	  11.6194	   1.1060	   0.0690
3600000000.0000	   8.6881	  11.4528	   1.0997	   0.0707
3680000000.0000	   8.5160	  11.3405	   1.1029	   0.0684
3760000000.0000	   8.3950	  11.2091	   1.0910	   0.0657
3840000000.0000	   8.2297	  11.0784	   1.0921	   0.0711
3920000000.0000	   8.1006	  10.9766	   1.0894	   0.0670
4000000000.0000	   7.9587	  10.8346	   1.0905	   0.0682
4080000000.0000	   7.8028	  10.7290	   1.0914	   0.0690
4160000000.0000	   7.6627	  10.6058	   1.0922	   0.0675
4240000000.0000	   7.5288	  10.5094	   1.0987	   0.0692
4320000000.0000	   7.3919	  10.3807	   1.1001	   0.0687
4400000000.0000	   7.2544	  10.2791	   1.1073	   0.0674
4480000000.0000	   7.1174	  10.1619	   1.1088	   0.0693
4560000000.0000	   6.9725	  10.0620	   1.1167	   0.0697
4640000000.0000	   6.8549	   9.9696	   1.1215	   0.0693
4720000000.0000	   6.7103	   9.8589	   1.1303	   0.0736
4800000000.0000	   6.5860	   9.7967	   1.1368	   0.0696
4880000000.0000	   6.4758	   9.6803	   1.1428	   0.0735
4960000000.0000	   6.3355	   9.6236	   1.1503	   0.0680
5040000000.0000	   6.2592	   9.5333	   1.1511	   0.0705
5120000000.0000	   6.1218	   9.4521	   1.1616	   0.0731
5200000000.0000	   6.0346	   9.3956	   1.1623	   0.0664
5280000000.0000	   5.9354	   9.3001	   1.1668	   0.0715
5360000000.0000	   5.8379	   9.2598	   1.1698	   0.0633
5440000000.0000	   5.7557	   9.1819	   1.1668	   0.0635
5520000000.0000	   5.6600	   9.1418	   1.1702	   0.0622
5600000000.0000	   5.6066	   9.0803	   1.1632	   0.0587
5680000000.0000	   5.5219	   9.0070	   1.1670	   0.0584
5760000000.0000	   5.4567	   8.9786	   1.1589	   0.0516
5840000000.0000	   5.3898	   8.9108	   1.1560	   0.0514
5920000000.0000	   5.3312	   8.8748	   1.1549	   0.0457
6000000000.0000	   5.2881	   8.8092	   1.1466	   0.0396
6080000000.0000	   5.2023	   8.7691	   1.1438	   0.0352
6160000000.0000	   5.1850	   8.7268	   1.1362	   0.0327
6240000000.0000	   5.1088	   8.6621	   1.1373	   0.0271
6320000000.0000	   5.0672	   8.6200	   1.1298	   0.0202
6400000000.0000	   5.0090	   8.5611	   1.1254	   0.0188
6480000000.0000	   4.9637	   8.5173	   1.1248	   0.0111
6560000000.0000	   4.9291	   8.4448	   1.1189	   0.0085
6640000000.0000	   4.8502	   8.3954	   1.1184	   0.0029
6720000000.0000	   4.8136	   8.3414	   1.1134	   0.0011
6800000000.0000	   4.7525	   8.2897	   1.1144	  -0.0031
6880000000.0000	   4.7063	   8.2224	   1.1126	  -0.0060
6960000000.0000	   4.6475	   8.1560	   1.1132	  -0.0076
7040000000.0000	   4.6055	   8.1110	   1.1119	  -0.0131
7120000000.0000	   4.5561	   8.0162	   1.1106	  -0.0115
7200000000.0000	   4.4977	   7.9745	   1.1136	  -0.0153
7280000000.0000	   4.4673	   7.8894	   1.1117	  -0.0141
7360000000.0000	   4.3919	   7.8234	   1.1171	  -0.0163
7440000000.0000	   4.3702	   7.7657	   1.1132	  -0.0174
7520000000.0000	   4.3041	   7.6760	   1.1191	  -0.0142
7600000000.0000	   4.2656	   7.6303	   1.1187	  -0.0193
7680000000.0000	   4.2356	   7.5261	   1.1207	  -0.0133
7760000000.0000	   4.1648	   7.4739	   1.1261	  -0.0150
7840000000.0000	   4.1532	   7.3991	   1.1258	  -0.0145
7920000000.0000	   4.0765	   7.3213	   1.1333	  -0.0128
8000000000.0000	   4.0502	   7.2766	   1.1335	  -0.0142
8080000000.0000	   4.0001	   7.1863	   1.1397	  -0.0093
8160000000.0000	   3.9440	   7.1413	   1.1440	  -0.0110
8240000000.0000	   3.9169	   7.0708	   1.1465	  -0.0058
8320000000.0000	   3.8582	   6.9962	   1.1572	  -0.0042
8400000000.0000	   3.8156	   6.9386	   1.1599	  -0.0046
8480000000.0000	   3.7527	   6.8779	   1.1664	  -0.0021
8560000000.0000	   3.7035	   6.8270	   1.1695	   0.0015
8640000000.0000	   3.6607	   6.7629	   1.1761	   0.0028
8720000000.0000	   3.5982	   6.7090	   1.1824	   0.0044
8800000000.0000	   3.5388	   6.6619	   1.1876	   0.0052
8880000000.0000	   3.4903	   6.6193	   1.1906	   0.0061
8960000000.0000	   3.4495	   6.5590	   1.1952	   0.0093
9040000000.0000	   3.3845	   6.5291	   1.2005	   0.0057
9120000000.0000	   3.3511	   6.4809	   1.2011	   0.0068
9200000000.0000	   3.2882	   6.4335	   1.2066	   0.0044
9280000000.0000	   3.2619	   6.4093	   1.2050	   0.0045
9360000000.0000	   3.2021	   6.3489	   1.2120	   0.0066
9440000000.0000	   3.1527	   6.3398	   1.2126	  -0.0025
9520000000.0000	   3.1384	   6.2741	   1.2113	   0.0015
9600000000.0000	   3.0778	   6.2489	   1.2132	  -0.0030
9680000000.0000	   3.0798	   6.2153	   1.2073	  -0.0020
9760000000.0000	   3.0295	   6.1547	   1.2134	  -0.0001
9840000000.0000	   3.0015	   6.1249	   1.2105	  -0.0060
9920000000.0000	   2.9776	   6.0599	   1.2126	  -0.0014
10000000000.0000	   2.9456	   6.0450	   1.2127	  -0.0068
10080000000.0000	   2.9626	   5.9937	   1.2085	  -0.0041
10160000000.0000	   2.9102	   5.9414	   1.2145	  -0.0041
10240000000.0000	   2.9097	   5.9068	   1.2083	  -0.0059
10320000000.0000	   2.8861	   5.8423	   1.2129	  -0.0017
10400000000.0000	   2.8646	   5.8047	   1.2131	  -0.0030
10480000000.0000	   2.8613	   5.7470	   1.2129	  -0.0003
10560000000.0000	   2.8175	   5.6867	   1.2219	   0.0021
10640000000.0000	   2.8021	   5.6329	   1.2224	   0.0035
10720000000.0000	   2.7847	   5.5910	   1.2256	   0.0061
10800000000.0000	   2.7563	   5.5187	   1.2318	   0.0103
10880000000.0000	   2.7246	   5.4826	   1.2359	   0.0090
10960000000.0000	   2.7123	   5.4173	   1.2406	   0.0156
11040000000.0000	   2.6646	   5.3663	   1.2484	   0.0156
11120000000.0000	   2.6655	   5.3228	   1.2497	   0.0174
11200000000.0000	   2.6190	   5.2418	   1.2607	   0.0264
11280000000.0000	   2.5870	   5.2246	   1.2632	   0.0226
11360000000.0000	   2.5818	   5.1533	   1.2700	   0.0333
11440000000.0000	   2.5191	   5.1150	   1.2805	   0.0329
11520000000.0000	   2.5347	   5.0741	   1.2765	   0.0399
11600000000.0000	   2.4851	   5.0003	   1.2904	   0.0491
11680000000.0000	   2.4655	   4.9877	   1.2886	   0.0525
11760000000.0000	   2.4738	   4.8846	   1.2877	   0.0782
11840000000.0000	   2.4148	   4.8667	   1.2838	   0.0760
11920000000.0000	   2.4829	   4.8381	   1.2510	   0.0834
12000000000.0000	   2.4683	   4.7842	   1.2439	   0.0690
12080000000.0000	   2.4532	   4.8233	   1.2484	   0.0422
12160000000.0000	   2.4526	   4.7736	   1.2538	   0.0500
12240000000.0000	   2.4154	   4.7650	   1.2578	   0.0457
12320000000.0000	   2.4345	   4.7418	   1.2511	   0.0481
12400000000.0000	   2.4104	   4.7131	   1.2518	   0.0489
12480000000.0000	   2.4058	   4.7079	   1.2447	   0.0411
12560000000.0000	   2.4047	   4.6898	   1.2414	   0.0407
12640000000.0000	   2.3820	   4.6790	   1.2408	   0.0316
12720000000.0000	   2.3735	   4.6785	   1.2362	   0.0242
12800000000.0000	   2.3596	   4.6528	   1.2374	   0.0229
12880000000.0000	   2.3287	   4.6472	   1.2408	   0.0116
12960000000.0000	   2.3285	   4.6317	   1.2392	   0.0078
13040000000.0000	   2.3010	   4.5932	   1.2461	   0.0032
13120000000.0000	   2.2706	   4.6004	   1.2478	  -0.0088
13200000000.0000	   2.2789	   4.5568	   1.2488	  -0.0037
13280000000.0000	   2.2216	   4.5304	   1.2590	  -0.0140
13360000000.0000	   2.2344	   4.5387	   1.2536	  -0.0170
13440000000.0000	   2.2027	   4.4738	   1.2656	  -0.0129
13520000000.0000	   2.1836	   4.5023	   1.2651	  -0.0253
13600000000.0000	   2.2098	   4.4486	   1.2663	  -0.0146
13680000000.0000	   2.1568	   4.4265	   1.2789	  -0.0234
13760000000.0000	   2.1882	   4.4254	   1.2726	  -0.0217
13840000000.0000	   2.1739	   4.3665	   1.2827	  -0.0147
13920000000.0000	   2.1686	   4.3805	   1.2816	  -0.0198
14000000000.0000	   2.1909	   4.3265	   1.2831	  -0.0062
14080000000.0000	   2.1503	   4.3222	   1.2882	  -0.0115
14160000000.0000	   2.1736	   4.2978	   1.2826	  -0.0034
14240000000.0000	   2.1449	   4.2451	   1.2931	   0.0018
14320000000.0000	   2.1543	   4.2298	   1.2901	   0.0026
14400000000.0000	   2.1531	   4.1704	   1.3015	   0.0109
14480000000.0000	   2.1410	   4.1304	   1.3108	   0.0173
14560000000.0000	   2.1371	   4.0786	   1.3192	   0.0303
14640000000.0000	   2.1361	   4.0314	   1.3211	   0.0456
14720000000.0000	   2.1377	   3.9734	   1.3217	   0.0614
14800000000.0000	   2.1240	   3.9285	   1.3259	   0.0679
14880000000.0000	   2.1338	   3.8686	   1.3271	   0.0806
14960000000.0000	   2.1069	   3.8127	   1.3405	   0.0879
15040000000.0000	   2.1248	   3.7769	   1.3401	   0.0992
15120000000.0000	   2.1051	   3.7024	   1.3536	   0.1167
15200000000.0000	   2.0982	   3.6810	   1.3571	   0.1204
15280000000.0000	   2.1094	   3.6049	   1.3614	   0.1455
15360000000.0000	   2.0735	   3.5673	   1.3711	   0.1496
15440000000.0000	   2.0956	   3.5230	   1.3662	   0.1697
15520000000.0000	   2.0669	   3.4583	   1.3780	   0.1827
15600000000.0000	   2.0846	   3.4471	   1.3696	   0.1921
15680000000.0000	   2.0893	   3.3654	   1.3712	   0.2171
15760000000.0000	   2.0751	   3.3560	   1.3683	   0.2173
15840000000.0000	   2.1168	   3.3047	   1.3522	   0.2412
15920000000.0000	   2.1003	   3.2661	   1.3532	   0.2504
16000000000.0000	   2.1494	   3.2579	   1.3307	   0.2607
16080000000.0000	   2.1584	   3.1932	   1.3245	   0.2791
16160000000.0000	   2.1793	   3.1960	   1.3056	   0.2782
16240000000.0000	   2.2274	   3.1590	   1.2850	   0.2978
16320000000.0000	   2.2400	   3.1461	   1.2720	   0.2961
16400000000.0000	   2.2995	   3.1256	   1.2460	   0.3036
16480000000.0000	   2.3221	   3.0987	   1.2281	   0.3087
16560000000.0000	   2.3653	   3.1033	   1.2060	   0.3067
16640000000.0000	   2.4095	   3.0808	   1.1859	   0.3110
16720000000.0000	   2.4443	   3.0740	   1.1668	   0.3062
16800000000.0000	   2.4851	   3.0614	   1.1458	   0.3059
16880000000.0000	   2.5157	   3.0536	   1.1296	   0.3021
16960000000.0000	   2.5561	   3.0429	   1.1131	   0.2974
17040000000.0000	   2.5824	   3.0447	   1.1000	   0.2902
17120000000.0000	   2.6199	   3.0253	   1.0854	   0.2893
17200000000.0000	   2.6259	   3.0250	   1.0785	   0.2800
17280000000.0000	   2.6673	   3.0267	   1.0623	   0.2742
17360000000.0000	   2.6674	   3.0047	   1.0624	   0.2703
17440000000.0000	   2.6834	   3.0271	   1.0534	   0.2581
17520000000.0000	   2.6986	   2.9961	   1.0486	   0.2583
17600000000.0000	   2.6882	   3.0113	   1.0475	   0.2451
17680000000.0000	   2.7231	   2.9990	   1.0376	   0.2433
17760000000.0000	   2.6919	   2.9887	   1.0461	   0.2369
17840000000.0000	   2.7203	   3.0085	   1.0359	   0.2258
17920000000.0000	   2.7081	   2.9693	   1.0406	   0.2277
18000000000.0000	   2.6957	   3.0041	   1.0418	   0.2132
