frequency	e'	e''	u'	u''
2000000000.0000	  13.3160	  12.6961	   1.2588	   0.3909
2080000000.0000	  13.0415	  12.5102	   1.2450	   0.3875
2160000000.0000	  12.8222	  12.3662	   1.2448	   0.3713
2240000000.0000	  12.6176	  12.1777	   1.2370	   0.3667
2320000000.0000	  12.3585	  12.0280	   1.2319	   0.3513
2400000000.0000	  12.2006	  11.8870	   1.2183	   0.3391
2480000000.0000	  11.9798	  11.7156	   1.2040	   0.3368
2560000000.0000	  11.8202	  11.5928	   1.1963	   0.3176
2640000000.0000	  11.6433	  11.4316	   1.1727	   0.3153
2720000000.0000	  11.4700	  11.3271	   1.1747	   0.2987
2800000000.0000	  11.3560	  11.1933	   1.1575	   0.2865
2880000000.0000	  11.1710	  11.0780	   1.1566	   0.2792
2960000000.0000	  11.0632	  10.9903	   1.1503	   0.2627
3040000000.0000	  10.9090	  10.8388	   1.1462	   0.2636
3120000000.0000	  10.7599	  10.7685	   1.1460	   0.2508
3200000000.0000	  10.6330	  10.6326	   1.1309	   0.2480
3280000000.0000	  10.4708	  10.5603	   1.1360	   0.2505
3360000000.0000	  10.3721	  10.4538	   1.1255	   0.2392
3440000000.0000	  10.1951	  10.3199	   1.1197	   0.2458
3520000000.0000	  10.0766	  10.2625	   1.1173	   0.2422
3600000000.0000	   9.9475	  10.1192	   1.1119	   0.2439
3680000000.0000	   9.7927	  10.0298	   1.1131	   0.2416
3760000000.0000	   9.6664	   9.9157	   1.1024	   0.2403
3840000000.0000	   9.5114	   9.8099	   1.1038	   0.2449
3920000000.0000	   9.3904	   9.7186	   1.0990	   0.2427
4000000000.0000	   9.2494	   9.5956	   1.0997	   0.2447
4080000000.0000	   9.1017	   9.5085	   1.0997	   0.2460
4160000000.0000	   8.9640	   9.4023	   1.1011	   0.2479
4240000000.0000	   8.8413	   9.3178	   1.1045	   0.2508
4320000000.0000	   8.7054	   9.1975	   1.1049	   0.2543
4400000000.0000	   8.5713	   9.1111	   1.1101	   0.2564
4480000000.0000	   8.4436	   8.9998	   1.1076	   0.2605
4560000000.0000	   8.3011	   8.9097	   1.1116	   0.2668
4640000000.0000	   8.1941	   8.8237	   1.1098	   0.2682
4720000000.0000	   8.0602	   8.7172	   1.1117	   0.2732
4800000000.0000	   7.9498	   8.6634	   1.1126	   0.2679
4880000000.0000	   7.8669	   8.5527	   1.1126	   0.2695
4960000000.0000	   7.7483	   8.5086	   1.1169	   0.2629
5040000000.0000	   7.6854	   8.4328	   1.1142	   0.2622
5120000000.0000	   7.5721	   8.3737	   1.1213	   0.2626
5200000000.0000	   7.4978	   8.3323	   1.1201	   0.2556
5280000000.0000	   7.4086	   8.2579	   1.1215	   0.2584
5360000000.0000	   7.3278	   8.2331	   1.1224	   0.2497
5440000000.0000	   7.2527	   8.1631	   1.1175	   0.2484
5520000000.0000	   7.1803	   8.1357	   1.1179	   0.2455
5600000000.0000	   7.1250	   8.0797	   1.1097	   0.2422
5680000000.0000	   7.0514	   8.0184	   1.1106	   0.2404
5760000000.0000	   6.9974	   7.9841	   1.1017	   0.2339
5840000000.0000	   6.9355	   7.9249	   1.0975	   0.2330
5920000000.0000	   6.8946	   7.8885	   1.0937	   0.2272
6000000000.0000	   6.8549	   7.8126	   1.0845	   0.2226
6080000000.0000	   6.7817	   7.7825	   1.0799	   0.2169
6160000000.0000	   6.7840	   7.7283	   1.0695	   0.2156
6240000000.0000	   6.7174	   7.6664	   1.0688	   0.2102
6320000000.0000	   6.6983	   7.6194	   1.0583	   0.2026
6400000000.0000	   6.6524	   7.5577	   1.0510	   0.2018
6480000000.0000	   6.6296	   7.5121	   1.0467	   0.1940
6560000000.0000	   6.6138	   7.4311	   1.0372	   0.1917
6640000000.0000	   6.5522	   7.3922	   1.0335	   0.1846
6720000000.0000	   6.5376	   7.3379	   1.0248	   0.1809
6800000000.0000	   6.4970	   7.2933	   1.0222	   0.1746
6880000000.0000	   6.4691	   7.2335	   1.0174	   0.1674
6960000000.0000	   6.4279	   7.1734	   1.0159	   0.1623
7040000000.0000	   6.4000	   7.1383	   1.0150	   0.1530
7120000000.0000	   6.3652	   7.0575	   1.0147	   0.1507
7200000000.0000	   6.3212	   7.0290	   1.0199	   0.1455
7280000000.0000	   6.2934	   6.9609	   1.0212	   0.1452
7360000000.0000	   6.2290	   6.9170	   1.0284	   0.1437
7440000000.0000	   6.2038	   6.8649	   1.0274	   0.1447
7520000000.0000	   6.1293	   6.7937	   1.0338	   0.1496
7600000000.0000	   6.0931	   6.7487	   1.0343	   0.1486
7680000000.0000	   6.0465	   6.6488	   1.0361	   0.1572
7760000000.0000	   5.9740	   6.6004	   1.0408	   0.1595
7840000000.0000	   5.9528	   6.5134	   1.0397	   0.1644
7920000000.0000	   5.8733	   6.4466	   1.0447	   0.1699
8000000000.0000	   5.8508	   6.3867	   1.0429	   0.1724
8080000000.0000	   5.7934	   6.2954	   1.0459	   0.1808
8160000000.0000	   5.7479	   6.2471	   1.0464	   0.1826
8240000000.0000	   5.7163	   6.1681	   1.0459	   0.1905
8320000000.0000	   5.6602	   6.0993	   1.0525	   0.1953
8400000000.0000	   5.6255	   6.0269	   1.0512	   0.1996
8480000000.0000	   5.5685	   5.9659	   1.0524	   0.2053
8560000000.0000	   5.5397	   5.9043	   1.0484	   0.2128
8640000000.0000	   5.5088	   5.8302	   1.0476	   0.2179
8720000000.0000	   5.4671	   5.7769	   1.0462	   0.2206
8800000000.0000	   5.4372	   5.7271	   1.0421	   0.2230
8880000000.0000	   5.4137	   5.6934	   1.0377	   0.2234
8960000000.0000	   5.4014	   5.6294	   1.0332	   0.2256
9040000000.0000	   5.3717	   5.6085	   1.0307	   0.2210
