frequency	e'	e''	u'	u''
2000000000.0000	  11.8863	   8.3713	   1.2293	   0.0414
2080000000.0000	  11.6915	   8.2793	   1.2229	   0.0428
2160000000.0000	  11.5366	   8.2135	   1.2311	   0.0343
2240000000.0000	  11.3973	   8.1118	   1.2311	   0.0346
2320000000.0000	  11.2172	   8.0460	   1.2322	   0.0255
2400000000.0000	  11.1189	   7.9800	   1.2288	   0.0204
2480000000.0000	  10.9624	   7.9034	   1.2236	   0.0224
2560000000.0000	  10.8590	   7.8514	   1.2226	   0.0122
2640000000.0000	  10.7322	   7.7755	   1.2098	   0.0181
2720000000.0000	  10.6178	   7.7382	   1.2165	   0.0121
2800000000.0000	  10.5465	   7.6744	   1.2031	   0.0096
2880000000.0000	  10.4220	   7.6236	   1.2017	   0.0117
2960000000.0000	  10.3615	   7.5917	   1.1954	   0.0035
3040000000.0000	  10.2570	   7.5143	   1.1898	   0.0084
3120000000.0000	  10.1629	   7.5005	   1.1905	   0.0009
3200000000.0000	  10.0762	   7.4400	   1.1769	   0.0016
3280000000.0000	   9.9755	   7.4272	   1.1810	   0.0062
3360000000.0000	   9.9085	   7.3872	   1.1727	  -0.0012
3440000000.0000	   9.7792	   7.3346	   1.1681	   0.0047
3520000000.0000	   9.7067	   7.3383	   1.1664	   0.0035
3600000000.0000	   9.6118	   7.2724	   1.1623	   0.0050
3680000000.0000	   9.5015	   7.2511	   1.1637	   0.0035
3760000000.0000	   9.3994	   7.2111	   1.1563	   0.0026
3840000000.0000	   9.2849	   7.1822	   1.1568	   0.0051
3920000000.0000	   9.1958	   7.1561	   1.1540	   0.0033
4000000000.0000	   9.0770	   7.1055	   1.1567	   0.0046
4080000000.0000	   8.9635	   7.0863	   1.1570	   0.0042
4160000000.0000	   8.8496	   7.0509	   1.1598	   0.0045
4240000000.0000	   8.7568	   7.0289	   1.1646	   0.0047
4320000000.0000	   8.6407	   6.9767	   1.1673	   0.0055
4400000000.0000	   8.5298	   6.9531	   1.1745	   0.0051
4480000000.0000	   8.4207	   6.9090	   1.1752	   0.0063
4560000000.0000	   8.2934	   6.8783	   1.1838	   0.0089
4640000000.0000	   8.2013	   6.8513	   1.1876	   0.0091
4720000000.0000	   8.0807	   6.8097	   1.1956	   0.0139
4800000000.0000	   7.9806	   6.8184	   1.2019	   0.0112
4880000000.0000	   7.8935	   6.7592	   1.2064	   0.0153
4960000000.0000	   7.7822	   6.7639	   1.2128	   0.0117
5040000000.0000	   7.7260	   6.7310	   1.2124	   0.0143
5120000000.0000	   7.6170	   6.7119	   1.2204	   0.0171
5200000000.0000	   7.5508	   6.7062	   1.2205	   0.0130
5280000000.0000	   7.4739	   6.6721	   1.2224	   0.0169
5360000000.0000	   7.4079	   6.6794	   1.2229	   0.0116
5440000000.0000	   7.3445	   6.6571	   1.2193	   0.0111
5520000000.0000	   7.2863	   6.6609	   1.2186	   0.0103
5600000000.0000	   7.2369	   6.6463	   1.2123	   0.0089
5680000000.0000	   7.1769	   6.6321	   1.2127	   0.0075
5760000000.0000	   7.1293	   6.6373	   1.2043	   0.0028
5840000000.0000	   7.0668	   6.6225	   1.2009	   0.0017
5920000000.0000	   7.0299	   6.6288	   1.1970	  -0.0035
6000000000.0000	   6.9859	   6.5994	   1.1901	  -0.0074
6080000000.0000	   6.9120	   6.6171	   1.1859	  -0.0136
6160000000.0000	   6.9024	   6.5939	   1.1785	  -0.0147
6240000000.0000	   6.8237	   6.5779	   1.1791	  -0.0209
6320000000.0000	   6.7904	   6.5660	   1.1717	  -0.0276
6400000000.0000	   6.7265	   6.5479	   1.1688	  -0.0297
6480000000.0000	   6.6860	   6.5325	   1.1675	  -0.0370
6560000000.0000	   6.6491	   6.4789	   1.1638	  -0.0385
6640000000.0000	   6.5662	   6.4708	   1.1641	  -0.0445
6720000000.0000	   6.5363	   6.4436	   1.1603	  -0.0465
6800000000.0000	   6.4772	   6.4173	   1.1616	  -0.0496
6880000000.0000	   6.4298	   6.3695	   1.1611	  -0.0522
6960000000.0000	   6.3809	   6.3342	   1.1622	  -0.0536
7040000000.0000	   6.3411	   6.3090	   1.1618	  -0.0573
7120000000.0000	   6.2965	   6.2467	   1.1618	  -0.0560
7200000000.0000	   6.2457	   6.2299	   1.1644	  -0.0580
7280000000.0000	   6.2115	   6.1689	   1.1648	  -0.0561
7360000000.0000	   6.1529	   6.1397	   1.1692	  -0.0583
7440000000.0000	   6.1317	   6.0992	   1.1671	  -0.0569
7520000000.0000	   6.0609	   6.0536	   1.1728	  -0.0548
7600000000.0000	   6.0335	   6.0285	   1.1723	  -0.0566
7680000000.0000	   5.9888	   5.9552	   1.1754	  -0.0511
7760000000.0000	   5.9214	   5.9365	   1.1796	  -0.0517
7840000000.0000	   5.8962	   5.8759	   1.1811	  -0.0483
7920000000.0000	   5.8181	   5.8480	   1.1873	  -0.0476
8000000000.0000	   5.7873	   5.8170	   1.1873	  -0.0466
8080000000.0000	   5.7212	   5.7646	   1.1929	  -0.0425
8160000000.0000	   5.6726	   5.7480	   1.1954	  -0.0435
8240000000.0000	   5.6272	   5.6990	   1.1981	  -0.0383
8320000000.0000	   5.5606	   5.6670	   1.2054	  -0.0387
8400000000.0000	   5.5170	   5.6311	   1.2066	  -0.0383
8480000000.0000	   5.4467	   5.6057	   1.2120	  -0.0379
8560000000.0000	   5.4019	   5.5790	   1.2128	  -0.0357
8640000000.0000	   5.3486	   5.5361	   1.2178	  -0.0348
8720000000.0000	   5.2759	   5.5157	   1.2227	  -0.0358
8800000000.0000	   5.2212	   5.4976	   1.2260	  -0.0366
8880000000.0000	   5.1665	   5.4835	   1.2283	  -0.0375
8960000000.0000	   5.1228	   5.4440	   1.2314	  -0.0366
9040000000.0000	   5.0564	   5.4407	   1.2354	  -0.0414
9120000000.0000	   5.0237	   5.4142	   1.2352	  -0.0413
9200000000.0000	   4.9616	   5.3913	   1.2390	  -0.0448
9280000000.0000	   4.9357	   5.3801	   1.2370	  -0.0454
