frequency	e'	e''	u'	u''
2000000000.0000	   5.8734	   4.6414	   1.1408	   0.1621
2080000000.0000	   5.8000	   4.5530	   1.1322	   0.1629
2160000000.0000	   5.7417	   4.4748	   1.1358	   0.1558
2240000000.0000	   5.6881	   4.3848	   1.1362	   0.1583
2320000000.0000	   5.6131	   4.3212	   1.1374	   0.1474
2400000000.0000	   5.5850	   4.2532	   1.1302	   0.1443
2480000000.0000	   5.5258	   4.1818	   1.1244	   0.1475
2560000000.0000	   5.4858	   4.1252	   1.1243	   0.1380
2640000000.0000	   5.4512	   4.0608	   1.1063	   0.1445
2720000000.0000	   5.4030	   4.0113	   1.1109	   0.1408
2800000000.0000	   5.3984	   3.9591	   1.0904	   0.1391
2880000000.0000	   5.3567	   3.9057	   1.0844	   0.1431
2960000000.0000	   5.3475	   3.8708	   1.0706	   0.1331
3040000000.0000	   5.3207	   3.8148	   1.0590	   0.1387
3120000000.0000	   5.2916	   3.7955	   1.0526	   0.1278
3200000000.0000	   5.2806	   3.7575	   1.0289	   0.1228
3280000000.0000	   5.2510	   3.7337	   1.0238	   0.1253
3360000000.0000	   5.2316	   3.7136	   1.0091	   0.1099
3440000000.0000	   5.1922	   3.6855	   0.9968	   0.1063
3520000000.0000	   5.1690	   3.6798	   0.9889	   0.0960
3600000000.0000	   5.1302	   3.6465	   0.9806	   0.0868
3680000000.0000	   5.0774	   3.6345	   0.9809	   0.0752
3760000000.0000	   5.0321	   3.6191	   0.9739	   0.0598
3840000000.0000	   4.9757	   3.5950	   0.9752	   0.0526
3920000000.0000	   4.9241	   3.5719	   0.9762	   0.0423
4000000000.0000	   4.8575	   3.5393	   0.9870	   0.0351
4080000000.0000	   4.8006	   3.5151	   0.9943	   0.0272
4160000000.0000	   4.7396	   3.4729	   1.0043	   0.0229
4240000000.0000	   4.6858	   3.4342	   1.0172	   0.0241
4320000000.0000	   4.6286	   3.3827	   1.0291	   0.0251
4400000000.0000	   4.5744	   3.3383	   1.0443	   0.0293
4480000000.0000	   4.5274	   3.2911	   1.0520	   0.0335
4560000000.0000	   4.4780	   3.2486	   1.0633	   0.0431
4640000000.0000	   4.4492	   3.2063	   1.0707	   0.0494
4720000000.0000	   4.4090	   3.1637	   1.0798	   0.0606
4800000000.0000	   4.3851	   3.1425	   1.0833	   0.0637
4880000000.0000	   4.3614	   3.0980	   1.0856	   0.0738
4960000000.0000	   4.3321	   3.0875	   1.0874	   0.0741
5040000000.0000	   4.3273	   3.0581	   1.0822	   0.0797
5120000000.0000	   4.2958	   3.0419	   1.0865	   0.0847
5200000000.0000	   4.2825	   3.0356	   1.0809	   0.0793
5280000000.0000	   4.2660	   3.0175	   1.0786	   0.0826
5360000000.0000	   4.2483	   3.0208	   1.0747	   0.0741
5440000000.0000	   4.2324	   3.0100	   1.0665	   0.0706
5520000000.0000	   4.2116	   3.0153	   1.0652	   0.0671
5600000000.0000	   4.2026	   3.0143	   1.0557	   0.0586
5680000000.0000	   4.1814	   3.0022	   1.0566	   0.0540
5760000000.0000	   4.1628	   3.0132	   1.0481	   0.0426
5840000000.0000	   4.1426	   3.0050	   1.0444	   0.0369
5920000000.0000	   4.1323	   3.0100	   1.0441	   0.0263
6000000000.0000	   4.1147	   2.9932	   1.0381	   0.0169
6080000000.0000	   4.0881	   3.0019	   1.0369	   0.0069
6160000000.0000	   4.0870	   2.9894	   1.0330	   0.0020
6240000000.0000	   4.0609	   2.9780	   1.0361	  -0.0073
6320000000.0000	   4.0491	   2.9711	   1.0328	  -0.0176
6400000000.0000	   4.0308	   2.9553	   1.0315	  -0.0204
6480000000.0000	   4.0170	   2.9457	   1.0345	  -0.0289
6560000000.0000	   4.0040	   2.9199	   1.0341	  -0.0330
6640000000.0000	   3.9789	   2.9165	   1.0361	  -0.0390
6720000000.0000	   3.9778	   2.9000	   1.0346	  -0.0415
