frequency	e'	e''	u'	u''
2000000000.0000	   4.3980	   1.8963	   1.2931	   0.6745
2080000000.0000	   4.3581	   1.8951	   1.2718	   0.6661
2160000000.0000	   4.3278	   1.8755	   1.2488	   0.6660
2240000000.0000	   4.2890	   1.8658	   1.2362	   0.6694
2320000000.0000	   4.2555	   1.8716	   1.2132	   0.6528
2400000000.0000	   4.2390	   1.8568	   1.1857	   0.6568
2480000000.0000	   4.2090	   1.8624	   1.1621	   0.6511
2560000000.0000	   4.1954	   1.8573	   1.1315	   0.6437
2640000000.0000	   4.1742	   1.8538	   1.0974	   0.6450
2720000000.0000	   4.1527	   1.8681	   1.0746	   0.6303
2800000000.0000	   4.1562	   1.8620	   1.0311	   0.6247
2880000000.0000	   4.1290	   1.8763	   1.0087	   0.6166
2960000000.0000	   4.1340	   1.8884	   0.9642	   0.5959
3040000000.0000	   4.1092	   1.8893	   0.9406	   0.5934
3120000000.0000	   4.0925	   1.9268	   0.9123	   0.5608
3200000000.0000	   4.0871	   1.9330	   0.8682	   0.5442
3280000000.0000	   4.0550	   1.9614	   0.8520	   0.5276
3360000000.0000	   4.0430	   1.9903	   0.8142	   0.4932
3440000000.0000	   4.0001	   2.0047	   0.7952	   0.4738
3520000000.0000	   3.9765	   2.0468	   0.7741	   0.4343
3600000000.0000	   3.9366	   2.0521	   0.7499	   0.4093
3680000000.0000	   3.8776	   2.0847	   0.7516	   0.3762
3760000000.0000	   3.8410	   2.1086	   0.7302	   0.3335
3840000000.0000	   3.7760	   2.1085	   0.7314	   0.3087
3920000000.0000	   3.7188	   2.1339	   0.7297	   0.2711
4000000000.0000	   3.6605	   2.1278	   0.7353	   0.2459
4080000000.0000	   3.5932	   2.1355	   0.7508	   0.2152
4160000000.0000	   3.5400	   2.1260	   0.7564	   0.1824
4240000000.0000	   3.4753	   2.1055	   0.7762	   0.1695
4320000000.0000	   3.4144	   2.0972	   0.7976	   0.1459
4400000000.0000	   3.3637	   2.0689	   0.8154	   0.1322
4480000000.0000	   3.3019	   2.0478	   0.8413	   0.1208
4560000000.0000	   3.2561	   2.0299	   0.8611	   0.1088
4640000000.0000	   3.2160	   1.9954	   0.8834	   0.1063
4720000000.0000	   3.1673	   1.9775	   0.9115	   0.1032
4800000000.0000	   3.1453	   1.9550	   0.9264	   0.0969
4880000000.0000	   3.1063	   1.9234	   0.9510	   0.1055
4960000000.0000	   3.0842	   1.9221	   0.9666	   0.0985
5040000000.0000	   3.0767	   1.8921	   0.9757	   0.1108
5120000000.0000	   3.0457	   1.8946	   0.9973	   0.1176
5200000000.0000	   3.0467	   1.8974	   0.9944	   0.1162
5280000000.0000	   3.0250	   1.8979	   1.0034	   0.1299
5360000000.0000	   3.0008	   1.9372	   0.9999	   0.1190
5440000000.0000	   2.9648	   1.9495	   0.9871	   0.1189
5520000000.0000	   2.8916	   1.9767	   0.9943	   0.1107
5600000000.0000	   2.8426	   1.9734	   0.9863	   0.0909
5680000000.0000	   2.7729	   1.9292	   1.0032	   0.0867
5760000000.0000	   2.7232	   1.9126	   1.0092	   0.0692
5840000000.0000	   2.6995	   1.8583	   1.0148	   0.0703
5920000000.0000	   2.6775	   1.8283	   1.0327	   0.0672
6000000000.0000	   2.6734	   1.7872	   1.0315	   0.0623
6080000000.0000	   2.6587	   1.7542	   1.0391	   0.0667
6160000000.0000	   2.6601	   1.7372	   1.0429	   0.0674
6240000000.0000	   2.6632	   1.7028	   1.0450	   0.0685
6320000000.0000	   2.6557	   1.6861	   1.0486	   0.0696
6400000000.0000	   2.6615	   1.6685	   1.0440	   0.0702
6480000000.0000	   2.6605	   1.6450	   1.0479	   0.0741
6560000000.0000	   2.6564	   1.6338	   1.0504	   0.0727
6640000000.0000	   2.6604	   1.6239	   1.0454	   0.0724
6720000000.0000	   2.6580	   1.6089	   1.0467	   0.0767
6800000000.0000	   2.6578	   1.6024	   1.0456	   0.0753
6880000000.0000	   2.6557	   1.5868	   1.0444	   0.0778
6960000000.0000	   2.6458	   1.5801	   1.0489	   0.0774
7040000000.0000	   2.6533	   1.5747	   1.0435	   0.0736
7120000000.0000	   2.6387	   1.5547	   1.0455	   0.0803
7200000000.0000	   2.6393	   1.5588	   1.0486	   0.0742
7280000000.0000	   2.6383	   1.5350	   1.0442	   0.0797
7360000000.0000	   2.6148	   1.5314	   1.0540	   0.0784
7440000000.0000	   2.6252	   1.5283	   1.0465	   0.0770
7520000000.0000	   2.6055	   1.5073	   1.0538	   0.0873
7600000000.0000	   2.6005	   1.5119	   1.0564	   0.0798
7680000000.0000	   2.5975	   1.4869	   1.0547	   0.0895
7760000000.0000	   2.5759	   1.4881	   1.0652	   0.0911
7840000000.0000	   2.5845	   1.4723	   1.0617	   0.0909
7920000000.0000	   2.5611	   1.4548	   1.0694	   0.1020
8000000000.0000	   2.5546	   1.4598	   1.0718	   0.0983
8080000000.0000	   2.5535	   1.4338	   1.0707	   0.1088
8160000000.0000	   2.5301	   1.4288	   1.0794	   0.1143
8240000000.0000	   2.5340	   1.4211	   1.0763	   0.1181
8320000000.0000	   2.5194	   1.4018	   1.0845	   0.1290
8400000000.0000	   2.5100	   1.3993	   1.0868	   0.1283
8480000000.0000	   2.5066	   1.3810	   1.0825	   0.1379
8560000000.0000	   2.4874	   1.3737	   1.0876	   0.1490
8640000000.0000	   2.4841	   1.3658	   1.0872	   0.1501
8720000000.0000	   2.4745	   1.3533	   1.0884	   0.1589
8800000000.0000	   2.4597	   1.3529	   1.0901	   0.1644
8880000000.0000	   2.4622	   1.3466	   1.0834	   0.1685
8960000000.0000	   2.4453	   1.3307	   1.0870	   0.1788
9040000000.0000	   2.4403	   1.3390	   1.0858	   0.1744
9120000000.0000	   2.4389	   1.3229	   1.0793	   0.1839
9200000000.0000	   2.4187	   1.3262	   1.0831	   0.1831
9280000000.0000	   2.4279	   1.3240	   1.0725	   0.1839
9360000000.0000	   2.4114	   1.3148	   1.0741	   0.1926
9440000000.0000	   2.4071	   1.3255	   1.0684	   0.1844
9520000000.0000	   2.4063	   1.3100	   1.0601	   0.1897
9600000000.0000	   2.3886	   1.3174	   1.0600	   0.1883
9680000000.0000	   2.4029	   1.3122	   1.0464	   0.1859
9760000000.0000	   2.3853	   1.2978	   1.0461	   0.1946
9840000000.0000	   2.3801	   1.3074	   1.0395	   0.1843
9920000000.0000	   2.3802	   1.2878	   1.0301	   0.1909
10000000000.0000	   2.3674	   1.2944	   1.0313	   0.1865
10080000000.0000	   2.3804	   1.2829	   1.0182	   0.1859
10160000000.0000	   2.3665	   1.2728	   1.0176	   0.1885
10240000000.0000	   2.3631	   1.2737	   1.0086	   0.1814
10320000000.0000	   2.3652	   1.2575	   1.0018	   0.1845
10400000000.0000	   2.3532	   1.2558	   0.9996	   0.1819
10480000000.0000	   2.3592	   1.2434	   0.9904	   0.1782
10560000000.0000	   2.3538	   1.2344	   0.9900	   0.1816
10640000000.0000	   2.3439	   1.2332	   0.9868	   0.1763
10720000000.0000	   2.3538	   1.2223	   0.9794	   0.1741
10800000000.0000	   2.3373	   1.2117	   0.9813	   0.1744
10880000000.0000	   2.3373	   1.2136	   0.9775	   0.1658
10960000000.0000	   2.3359	   1.1990	   0.9748	   0.1672
11040000000.0000	   2.3190	   1.2007	   0.9765	   0.1607
11120000000.0000	   2.3305	   1.1958	   0.9720	   0.1541
11200000000.0000	   2.3105	   1.1883	   0.9767	   0.1568
11280000000.0000	   2.3109	   1.2003	   0.9756	   0.1423
11360000000.0000	   2.3155	   1.1863	   0.9759	   0.1441
11440000000.0000	   2.2937	   1.1989	   0.9839	   0.1368
11520000000.0000	   2.3074	   1.2009	   0.9780	   0.1288
11600000000.0000	   2.2871	   1.1958	   0.9866	   0.1331
11680000000.0000	   2.2887	   1.2233	   0.9871	   0.1216
11760000000.0000	   2.2761	   1.2076	   0.9831	   0.1310
11840000000.0000	   2.2463	   1.2295	   0.9855	   0.1195
11920000000.0000	   2.2555	   1.2213	   0.9638	   0.1077
12000000000.0000	   2.2366	   1.1921	   0.9694	   0.0912
12080000000.0000	   2.2529	   1.2108	   0.9858	   0.0659
12160000000.0000	   2.2610	   1.2118	   0.9944	   0.0686
12240000000.0000	   2.2459	   1.2292	   1.0084	   0.0646
12320000000.0000	   2.2531	   1.2415	   1.0093	   0.0606
12400000000.0000	   2.2365	   1.2400	   1.0182	   0.0653
12480000000.0000	   2.2267	   1.2576	   1.0235	   0.0565
12560000000.0000	   2.2259	   1.2546	   1.0253	   0.0603
12640000000.0000	   2.2028	   1.2593	   1.0336	   0.0589
12720000000.0000	   2.2019	   1.2669	   1.0356	   0.0549
12800000000.0000	   2.1886	   1.2615	   1.0407	   0.0624
12880000000.0000	   2.1695	   1.2668	   1.0502	   0.0592
12960000000.0000	   2.1703	   1.2649	   1.0503	   0.0611
13040000000.0000	   2.1453	   1.2529	   1.0592	   0.0676
13120000000.0000	   2.1360	   1.2650	   1.0616	   0.0625
13200000000.0000	   2.1322	   1.2407	   1.0616	   0.0770
13280000000.0000	   2.1002	   1.2442	   1.0714	   0.0757
13360000000.0000	   2.1135	   1.2427	   1.0630	   0.0798
13440000000.0000	   2.0880	   1.2189	   1.0692	   0.0941
13520000000.0000	   2.0871	   1.2310	   1.0677	   0.0888
13600000000.0000	   2.0931	   1.1996	   1.0602	   0.1049
13680000000.0000	   2.0696	   1.1968	   1.0676	   0.1057
13760000000.0000	   2.0927	   1.1895	   1.0543	   0.1081
13840000000.0000	   2.0797	   1.1618	   1.0556	   0.1223
13920000000.0000	   2.0879	   1.1710	   1.0498	   0.1178
14000000000.0000	   2.0980	   1.1442	   1.0386	   0.1335
14080000000.0000	   2.0838	   1.1485	   1.0371	   0.1332
14160000000.0000	   2.1055	   1.1391	   1.0203	   0.1356
14240000000.0000	   2.0940	   1.1217	   1.0176	   0.1442
14320000000.0000	   2.1054	   1.1214	   1.0070	   0.1386
14400000000.0000	   2.1166	   1.0979	   0.9993	   0.1453
14480000000.0000	   2.1113	   1.0978	   0.9988	   0.1491
14560000000.0000	   2.1224	   1.0971	   0.9892	   0.1497
14640000000.0000	   2.1157	   1.0876	   0.9788	   0.1573
14720000000.0000	   2.1086	   1.0838	   0.9671	   0.1559
14800000000.0000	   2.1076	   1.0730	   0.9584	   0.1523
14880000000.0000	   2.1007	   1.0597	   0.9532	   0.1504
14960000000.0000	   2.0994	   1.0598	   0.9527	   0.1419
15040000000.0000	   2.1064	   1.0439	   0.9476	   0.1420
15120000000.0000	   2.0921	   1.0420	   0.9494	   0.1407
15200000000.0000	   2.1027	   1.0460	   0.9464	   0.1322
15280000000.0000	   2.0916	   1.0303	   0.9455	   0.1368
15360000000.0000	   2.0817	   1.0449	   0.9469	   0.1251
15440000000.0000	   2.0895	   1.0309	   0.9413	   0.1268
15520000000.0000	   2.0678	   1.0327	   0.9473	   0.1214
15600000000.0000	   2.0809	   1.0382	   0.9417	   0.1139
15680000000.0000	   2.0623	   1.0207	   0.9441	   0.1173
15760000000.0000	   2.0615	   1.0431	   0.9474	   0.1016
15840000000.0000	   2.0672	   1.0249	   0.9379	   0.1045
15920000000.0000	   2.0462	   1.0313	   0.9466	   0.0976
16000000000.0000	   2.0656	   1.0367	   0.9385	   0.0906
16080000000.0000	   2.0477	   1.0195	   0.9431	   0.0928
16160000000.0000	   2.0533	   1.0357	   0.9404	   0.0804
16240000000.0000	   2.0598	   1.0179	   0.9361	   0.0854
16320000000.0000	   2.0507	   1.0232	   0.9408	   0.0783
16400000000.0000	   2.0639	   1.0164	   0.9358	   0.0747
16480000000.0000	   2.0566	   1.0062	   0.9359	   0.0757
16560000000.0000	   2.0660	   1.0109	   0.9338	   0.0693
16640000000.0000	   2.0730	   0.9946	   0.9313	   0.0730
16720000000.0000	   2.0693	   0.9897	   0.9323	   0.0701
16800000000.0000	   2.0781	   0.9834	   0.9280	   0.0698
16880000000.0000	   2.0757	   0.9726	   0.9276	   0.0712
16960000000.0000	   2.0808	   0.9636	   0.9271	   0.0686
17040000000.0000	   2.0848	   0.9571	   0.9254	   0.0687
17120000000.0000	   2.0843	   0.9422	   0.9248	   0.0728
17200000000.0000	   2.0837	   0.9421	   0.9264	   0.0686
17280000000.0000	   2.0919	   0.9307	   0.9213	   0.0715
17360000000.0000	   2.0823	   0.9220	   0.9274	   0.0713
17440000000.0000	   2.0913	   0.9231	   0.9249	   0.0694
17520000000.0000	   2.0818	   0.9057	   0.9271	   0.0734
17600000000.0000	   2.0806	   0.9144	   0.9295	   0.0672
17680000000.0000	   2.0888	   0.8982	   0.9262	   0.0719
17760000000.0000	   2.0711	   0.8993	   0.9351	   0.0700
17840000000.0000	   2.0845	   0.9028	   0.9294	   0.0659
17920000000.0000	   2.0706	   0.8850	   0.9351	   0.0713
18000000000.0000	   2.0699	   0.9037	   0.9387	   0.0631
