frequency	e'	e''	u'	u''
2000000000.0000	  12.5454	   9.0872	   1.0057	   0.2244
2080000000.0000	  12.2854	   9.0550	   1.0040	   0.2169
2160000000.0000	  12.0706	   9.0424	   1.0153	   0.1987
2240000000.0000	  11.8691	   8.9862	   1.0193	   0.1905
2320000000.0000	  11.6235	   8.9623	   1.0239	   0.1745
2400000000.0000	  11.4637	   8.9323	   1.0229	   0.1615
2480000000.0000	  11.2463	   8.8877	   1.0211	   0.1575
2560000000.0000	  11.0816	   8.8673	   1.0249	   0.1414
2640000000.0000	  10.8992	   8.8174	   1.0144	   0.1416
2720000000.0000	  10.7196	   8.8038	   1.0241	   0.1308
2800000000.0000	  10.5932	   8.7592	   1.0144	   0.1237
2880000000.0000	  10.4110	   8.7274	   1.0152	   0.1198
2960000000.0000	  10.2954	   8.7100	   1.0117	   0.1066
3040000000.0000	  10.1352	   8.6458	   1.0094	   0.1086
3120000000.0000	   9.9853	   8.6455	   1.0121	   0.0955
3200000000.0000	   9.8540	   8.5891	   0.9996	   0.0930
3280000000.0000	   9.6980	   8.5824	   1.0061	   0.0945
3360000000.0000	   9.5886	   8.5446	   0.9981	   0.0826
3440000000.0000	   9.4127	   8.4907	   0.9957	   0.0865
3520000000.0000	   9.2907	   8.4911	   0.9956	   0.0812
3600000000.0000	   9.1566	   8.4183	   0.9930	   0.0809
3680000000.0000	   8.9957	   8.3924	   0.9966	   0.0772
3760000000.0000	   8.8610	   8.3434	   0.9902	   0.0734
3840000000.0000	   8.7027	   8.3030	   0.9930	   0.0749
3920000000.0000	   8.5704	   8.2680	   0.9920	   0.0704
4000000000.0000	   8.4199	   8.2044	   0.9963	   0.0701
4080000000.0000	   8.2656	   8.1714	   0.9990	   0.0686
4160000000.0000	   8.1186	   8.1202	   1.0033	   0.0665
4240000000.0000	   7.9861	   8.0812	   1.0106	   0.0666
4320000000.0000	   7.8390	   8.0144	   1.0149	   0.0656
4400000000.0000	   7.6965	   7.9722	   1.0239	   0.0642
4480000000.0000	   7.5529	   7.9133	   1.0275	   0.0645
4560000000.0000	   7.4040	   7.8635	   1.0375	   0.0662
4640000000.0000	   7.2800	   7.8187	   1.0442	   0.0657
4720000000.0000	   7.1326	   7.7580	   1.0542	   0.0698
4800000000.0000	   7.0071	   7.7398	   1.0620	   0.0665
4880000000.0000	   6.8934	   7.6679	   1.0693	   0.0706
4960000000.0000	   6.7549	   7.6466	   1.0782	   0.0668
5040000000.0000	   6.6681	   7.5965	   1.0798	   0.0690
5120000000.0000	   6.5354	   7.5492	   1.0907	   0.0724
5200000000.0000	   6.4434	   7.5223	   1.0932	   0.0677
5280000000.0000	   6.3419	   7.4651	   1.0980	   0.0728
5360000000.0000	   6.2454	   7.4501	   1.1015	   0.0675
5440000000.0000	   6.1618	   7.4007	   1.1002	   0.0684
5520000000.0000	   6.0725	   7.3836	   1.1029	   0.0683
5600000000.0000	   6.0079	   7.3440	   1.0975	   0.0671
5680000000.0000	   5.9256	   7.2971	   1.1006	   0.0681
5760000000.0000	   5.8626	   7.2788	   1.0932	   0.0638
5840000000.0000	   5.7940	   7.2337	   1.0900	   0.0642
5920000000.0000	   5.7426	   7.2164	   1.0874	   0.0600
6000000000.0000	   5.6994	   7.1687	   1.0792	   0.0550
6080000000.0000	   5.6232	   7.1597	   1.0757	   0.0493
6160000000.0000	   5.6089	   7.1373	   1.0686	   0.0463
6240000000.0000	   5.5307	   7.1039	   1.0704	   0.0399
6320000000.0000	   5.4877	   7.0859	   1.0646	   0.0320
6400000000.0000	   5.4206	   7.0525	   1.0622	   0.0302
6480000000.0000	   5.3684	   7.0347	   1.0626	   0.0234
6560000000.0000	   5.3239	   6.9798	   1.0597	   0.0212
6640000000.0000	   5.2367	   6.9566	   1.0607	   0.0155
6720000000.0000	   5.1928	   6.9201	   1.0573	   0.0141
6800000000.0000	   5.1187	   6.8866	   1.0600	   0.0110
6880000000.0000	   5.0631	   6.8365	   1.0596	   0.0079
6960000000.0000	   4.9954	   6.7895	   1.0620	   0.0068
7040000000.0000	   4.9393	   6.7544	   1.0626	   0.0021
7120000000.0000	   4.8808	   6.6818	   1.0634	   0.0034
7200000000.0000	   4.8118	   6.6498	   1.0682	   0.0007
7280000000.0000	   4.7666	   6.5773	   1.0691	   0.0022
7360000000.0000	   4.6845	   6.5264	   1.0763	   0.0003
7440000000.0000	   4.6508	   6.4735	   1.0759	   0.0009
7520000000.0000	   4.5730	   6.3981	   1.0838	   0.0042
7600000000.0000	   4.5276	   6.3549	   1.0862	   0.0018
7680000000.0000	   4.4814	   6.2614	   1.0914	   0.0087
7760000000.0000	   4.4070	   6.2148	   1.0991	   0.0094
7840000000.0000	   4.3817	   6.1371	   1.1023	   0.0133
7920000000.0000	   4.3020	   6.0718	   1.1116	   0.0175
8000000000.0000	   4.2694	   6.0239	   1.1145	   0.0199
8080000000.0000	   4.2143	   5.9397	   1.1225	   0.0278
8160000000.0000	   4.1596	   5.8937	   1.1283	   0.0301
8240000000.0000	   4.1259	   5.8260	   1.1325	   0.0392
8320000000.0000	   4.0676	   5.7647	   1.1431	   0.0438
8400000000.0000	   4.0273	   5.7074	   1.1466	   0.0478
8480000000.0000	   3.9643	   5.6529	   1.1539	   0.0540
8560000000.0000	   3.9200	   5.6053	   1.1572	   0.0615
8640000000.0000	   3.8748	   5.5469	   1.1637	   0.0671
8720000000.0000	   3.8133	   5.4996	   1.1700	   0.0723
8800000000.0000	   3.7596	   5.4576	   1.1748	   0.0776
8880000000.0000	   3.7107	   5.4204	   1.1776	   0.0825
8960000000.0000	   3.6688	   5.3650	   1.1811	   0.0893
9040000000.0000	   3.6100	   5.3341	   1.1856	   0.0906
9120000000.0000	   3.5757	   5.2849	   1.1853	   0.0966
9200000000.0000	   3.5153	   5.2380	   1.1898	   0.0994
9280000000.0000	   3.4899	   5.2033	   1.1867	   0.1047
9360000000.0000	   3.4353	   5.1439	   1.1916	   0.1116
9440000000.0000	   3.3985	   5.1215	   1.1897	   0.1093
9520000000.0000	   3.3817	   5.0489	   1.1861	   0.1185
9600000000.0000	   3.3371	   5.0124	   1.1848	   0.1204
9680000000.0000	   3.3445	   4.9610	   1.1759	   0.1277
9760000000.0000	   3.3129	   4.8945	   1.1767	   0.1353
9840000000.0000	   3.3032	   4.8452	   1.1689	   0.1369
9920000000.0000	   3.2977	   4.7740	   1.1641	   0.1468
10000000000.0000	   3.2958	   4.7421	   1.1568	   0.1475
10080000000.0000	   3.3319	   4.6744	   1.1446	   0.1562
10160000000.0000	   3.3182	   4.6225	   1.1408	   0.1597
10240000000.0000	   3.3508	   4.5750	   1.1249	   0.1622
10320000000.0000	   3.3607	   4.5153	   1.1183	   0.1677
10400000000.0000	   3.3834	   4.4823	   1.1068	   0.1676
10480000000.0000	   3.4149	   4.4311	   1.0959	   0.1696
10560000000.0000	   3.4133	   4.4000	   1.0925	   0.1682
10640000000.0000	   3.4316	   4.3678	   1.0829	   0.1663
10720000000.0000	   3.4543	   4.3501	   1.0754	   0.1634
10800000000.0000	   3.4569	   4.3195	   1.0719	   0.1604
10880000000.0000	   3.4602	   4.3210	   1.0673	   0.1521
10960000000.0000	   3.4706	   4.2992	   1.0647	   0.1494
11040000000.0000	   3.4499	   4.2989	   1.0656	   0.1417
11120000000.0000	   3.4624	   4.2953	   1.0636	   0.1342
11200000000.0000	   3.4246	   4.2779	   1.0698	   0.1325
11280000000.0000	   3.4065	   4.3045	   1.0700	   0.1201
