frequency	e'	e''	u'	u''
2000000000.0000	   4.8659	   2.2716	   1.1259	   0.1051
2080000000.0000	   4.8092	   2.2465	   1.1222	   0.1075
2160000000.0000	   4.7623	   2.2265	   1.1288	   0.0983
2240000000.0000	   4.7210	   2.1919	   1.1303	   0.1035
2320000000.0000	   4.6602	   2.1791	   1.1350	   0.0938
2400000000.0000	   4.6416	   2.1600	   1.1275	   0.0888
2480000000.0000	   4.5978	   2.1322	   1.1218	   0.0946
2560000000.0000	   4.5650	   2.1165	   1.1246	   0.0860
2640000000.0000	   4.5460	   2.0932	   1.1044	   0.0901
2720000000.0000	   4.5034	   2.0753	   1.1123	   0.0881
2800000000.0000	   4.5070	   2.0600	   1.0938	   0.0829
2880000000.0000	   4.4758	   2.0335	   1.0874	   0.0892
2960000000.0000	   4.4696	   2.0240	   1.0791	   0.0819
3040000000.0000	   4.4534	   1.9972	   1.0692	   0.0860
3120000000.0000	   4.4316	   1.9933	   1.0648	   0.0803
3200000000.0000	   4.4282	   1.9791	   1.0461	   0.0751
3280000000.0000	   4.4123	   1.9653	   1.0430	   0.0811
3360000000.0000	   4.4003	   1.9602	   1.0333	   0.0735
3440000000.0000	   4.3794	   1.9497	   1.0233	   0.0724
3520000000.0000	   4.3719	   1.9459	   1.0161	   0.0698
3600000000.0000	   4.3522	   1.9310	   1.0096	   0.0687
3680000000.0000	   4.3284	   1.9273	   1.0087	   0.0633
3760000000.0000	   4.3111	   1.9260	   0.9992	   0.0564
3840000000.0000	   4.2874	   1.9171	   0.9950	   0.0538
3920000000.0000	   4.2676	   1.9120	   0.9883	   0.0510
4000000000.0000	   4.2344	   1.9065	   0.9946	   0.0491
4080000000.0000	   4.2163	   1.9078	   0.9921	   0.0417
4160000000.0000	   4.1870	   1.8958	   0.9938	   0.0383
4240000000.0000	   4.1613	   1.8912	   0.9982	   0.0392
4320000000.0000	   4.1304	   1.8800	   1.0027	   0.0380
4400000000.0000	   4.0968	   1.8773	   1.0121	   0.0376
4480000000.0000	   4.0666	   1.8710	   1.0148	   0.0346
4560000000.0000	   4.0293	   1.8668	   1.0242	   0.0386
4640000000.0000	   4.0048	   1.8634	   1.0306	   0.0370
4720000000.0000	   3.9685	   1.8539	   1.0405	   0.0421
4800000000.0000	   3.9435	   1.8611	   1.0473	   0.0391
4880000000.0000	   3.9143	   1.8463	   1.0540	   0.0442
4960000000.0000	   3.8819	   1.8543	   1.0616	   0.0413
5040000000.0000	   3.8668	   1.8455	   1.0619	   0.0453
5120000000.0000	   3.8333	   1.8437	   1.0725	   0.0496
5200000000.0000	   3.8139	   1.8472	   1.0732	   0.0455
5280000000.0000	   3.7938	   1.8388	   1.0767	   0.0501
5360000000.0000	   3.7747	   1.8452	   1.0777	   0.0450
5440000000.0000	   3.7574	   1.8414	   1.0728	   0.0451
5520000000.0000	   3.7410	   1.8468	   1.0750	   0.0467
5600000000.0000	   3.7341	   1.8495	   1.0679	   0.0432
5680000000.0000	   3.7189	   1.8397	   1.0702	   0.0427
5760000000.0000	   3.7065	   1.8517	   1.0620	   0.0360
5840000000.0000	   3.6927	   1.8500	   1.0577	   0.0351
5920000000.0000	   3.6935	   1.8586	   1.0566	   0.0279
6000000000.0000	   3.6821	   1.8491	   1.0493	   0.0237
6080000000.0000	   3.6699	   1.8636	   1.0457	   0.0159
6160000000.0000	   3.6723	   1.8588	   1.0393	   0.0143
6240000000.0000	   3.6571	   1.8595	   1.0401	   0.0075
6320000000.0000	   3.6544	   1.8649	   1.0339	  -0.0020
6400000000.0000	   3.6441	   1.8601	   1.0296	  -0.0027
6480000000.0000	   3.6360	   1.8636	   1.0298	  -0.0113
6560000000.0000	   3.6285	   1.8540	   1.0269	  -0.0151
6640000000.0000	   3.6111	   1.8647	   1.0262	  -0.0211
6720000000.0000	   3.6125	   1.8618	   1.0217	  -0.0258
6800000000.0000	   3.5985	   1.8581	   1.0225	  -0.0268
6880000000.0000	   3.5859	   1.8562	   1.0223	  -0.0334
6960000000.0000	   3.5772	   1.8499	   1.0227	  -0.0342
7040000000.0000	   3.5686	   1.8530	   1.0230	  -0.0397
7120000000.0000	   3.5562	   1.8393	   1.0215	  -0.0405
7200000000.0000	   3.5485	   1.8414	   1.0249	  -0.0426
7280000000.0000	   3.5387	   1.8279	   1.0239	  -0.0438
7360000000.0000	   3.5202	   1.8241	   1.0282	  -0.0459
7440000000.0000	   3.5175	   1.8219	   1.0259	  -0.0464
7520000000.0000	   3.5002	   1.8118	   1.0297	  -0.0449
7600000000.0000	   3.4923	   1.8099	   1.0314	  -0.0478
7680000000.0000	   3.4782	   1.7948	   1.0333	  -0.0440
7760000000.0000	   3.4628	   1.8003	   1.0376	  -0.0447
7840000000.0000	   3.4575	   1.7828	   1.0393	  -0.0429
7920000000.0000	   3.4331	   1.7816	   1.0448	  -0.0417
8000000000.0000	   3.4262	   1.7809	   1.0460	  -0.0418
8080000000.0000	   3.4104	   1.7698	   1.0496	  -0.0374
8160000000.0000	   3.3946	   1.7712	   1.0530	  -0.0372
8240000000.0000	   3.3841	   1.7627	   1.0550	  -0.0322
8320000000.0000	   3.3653	   1.7627	   1.0629	  -0.0319
8400000000.0000	   3.3537	   1.7577	   1.0641	  -0.0320
8480000000.0000	   3.3344	   1.7558	   1.0671	  -0.0292
8560000000.0000	   3.3190	   1.7567	   1.0686	  -0.0255
8640000000.0000	   3.3008	   1.7495	   1.0739	  -0.0238
8720000000.0000	   3.2827	   1.7605	   1.0776	  -0.0249
8800000000.0000	   3.2652	   1.7601	   1.0796	  -0.0222
8880000000.0000	   3.2515	   1.7696	   1.0817	  -0.0230
8960000000.0000	   3.2360	   1.7631	   1.0846	  -0.0213
9040000000.0000	   3.2145	   1.7784	   1.0897	  -0.0250
9120000000.0000	   3.2058	   1.7806	   1.0892	  -0.0255
9200000000.0000	   3.1820	   1.7865	   1.0935	  -0.0277
9280000000.0000	   3.1736	   1.7973	   1.0932	  -0.0291
9360000000.0000	   3.1558	   1.8021	   1.0975	  -0.0297
9440000000.0000	   3.1427	   1.8143	   1.0982	  -0.0357
9520000000.0000	   3.1246	   1.8136	   1.0991	  -0.0370
9600000000.0000	   3.1080	   1.8259	   1.1002	  -0.0401
9680000000.0000	   3.1074	   1.8264	   1.0975	  -0.0411
9760000000.0000	   3.0857	   1.8233	   1.1023	  -0.0400
9840000000.0000	   3.0692	   1.8313	   1.1019	  -0.0457
9920000000.0000	   3.0543	   1.8228	   1.1040	  -0.0428
10000000000.0000	   3.0452	   1.8348	   1.1063	  -0.0469
