frequency	e'	e''	u'	u''
2000000000.0000	   3.8845	   1.0747	   0.9240	  -0.6088
2080000000.0000	   3.8410	   1.0800	   0.7742	  -0.5899
2160000000.0000	   3.7967	   1.0825	   0.6298	  -0.5667
2240000000.0000	   3.7633	   1.0743	  -0.5089	   0.5544
2320000000.0000	   3.7141	   1.0837	  -0.3986	   0.5367
2400000000.0000	   3.6941	   1.0791	  -0.3056	   0.5243
2480000000.0000	   3.6600	   1.0697	  -0.2273	   0.5230
2560000000.0000	   3.6343	   1.0675	  -0.1483	   0.5116
2640000000.0000	   3.6251	   1.0574	  -0.1043	   0.5090
2720000000.0000	   3.5959	   1.0541	  -0.0399	   0.5032
2800000000.0000	   3.6063	   1.0477	  -0.0077	   0.4900
2880000000.0000	   3.5868	   1.0362	   0.0282	   0.4875
2960000000.0000	   3.5872	   1.0376	   0.0605	   0.4703
3040000000.0000	   3.5817	   1.0277	   0.0853	   0.4621
3120000000.0000	   3.5722	   1.0362	   0.1153	   0.4442
3200000000.0000	   3.5774	   1.0368	   0.1278	   0.4236
3280000000.0000	   3.5687	   1.0364	   0.1520	   0.4136
3360000000.0000	   3.5624	   1.0482	   0.1718	   0.3892
3440000000.0000	   3.5518	   1.0521	   0.1900	   0.3718
3520000000.0000	   3.5473	   1.0615	   0.2106	   0.3526
3600000000.0000	   3.5310	   1.0632	   0.2311	   0.3354
3680000000.0000	   3.5108	   1.0722	   0.2574	   0.3168
3760000000.0000	   3.4957	   1.0822	   0.2770	   0.2956
3840000000.0000	   3.4750	   1.0828	   0.2996	   0.2816
3920000000.0000	   3.4543	   1.0855	   0.3195	   0.2677
4000000000.0000	   3.4260	   1.0895	   0.3509	   0.2578
4080000000.0000	   3.4078	   1.0929	   0.3732	   0.2429
4160000000.0000	   3.3816	   1.0875	   0.3963	   0.2344
4240000000.0000	   3.3573	   1.0846	   0.4225	   0.2306
4320000000.0000	   3.3311	   1.0783	   0.4476	   0.2273
4400000000.0000	   3.3024	   1.0752	   0.4758	   0.2251
4480000000.0000	   3.2811	   1.0702	   0.4953	   0.2213
