frequency	e'	e''	u'	u''
2000000000.0000	  10.4615	   5.1711	   1.2690	   0.0562
2080000000.0000	  10.3363	   5.1482	   1.2631	   0.0584
2160000000.0000	  10.2456	   5.1314	   1.2703	   0.0505
2240000000.0000	  10.1624	   5.0847	   1.2696	   0.0513
2320000000.0000	  10.0388	   5.0774	   1.2727	   0.0420
2400000000.0000	   9.9867	   5.0577	   1.2671	   0.0368
2480000000.0000	   9.8854	   5.0289	   1.2614	   0.0396
2560000000.0000	   9.8232	   5.0205	   1.2627	   0.0306
2640000000.0000	   9.7497	   4.9979	   1.2475	   0.0344
2720000000.0000	   9.6744	   4.9900	   1.2540	   0.0285
2800000000.0000	   9.6428	   4.9759	   1.2404	   0.0252
2880000000.0000	   9.5632	   4.9630	   1.2375	   0.0261
2960000000.0000	   9.5332	   4.9633	   1.2316	   0.0174
3040000000.0000	   9.4676	   4.9303	   1.2269	   0.0220
3120000000.0000	   9.4128	   4.9456	   1.2263	   0.0143
3200000000.0000	   9.3623	   4.9309	   1.2128	   0.0137
3280000000.0000	   9.3067	   4.9481	   1.2155	   0.0174
3360000000.0000	   9.2647	   4.9358	   1.2074	   0.0100
3440000000.0000	   9.1803	   4.9324	   1.2032	   0.0143
3520000000.0000	   9.1439	   4.9581	   1.2012	   0.0126
3600000000.0000	   9.0796	   4.9316	   1.1966	   0.0139
3680000000.0000	   9.0054	   4.9445	   1.1992	   0.0113
3760000000.0000	   8.9348	   4.9428	   1.1915	   0.0091
3840000000.0000	   8.8582	   4.9488	   1.1930	   0.0117
3920000000.0000	   8.8010	   4.9539	   1.1900	   0.0093
4000000000.0000	   8.7130	   4.9473	   1.1932	   0.0105
4080000000.0000	   8.6353	   4.9634	   1.1935	   0.0098
4160000000.0000	   8.5537	   4.9646	   1.1970	   0.0093
4240000000.0000	   8.4888	   4.9718	   1.2018	   0.0097
4320000000.0000	   8.4026	   4.9605	   1.2045	   0.0107
4400000000.0000	   8.3173	   4.9704	   1.2125	   0.0105
4480000000.0000	   8.2330	   4.9682	   1.2140	   0.0112
4560000000.0000	   8.1381	   4.9776	   1.2220	   0.0137
4640000000.0000	   8.0715	   4.9855	   1.2267	   0.0134
4720000000.0000	   7.9737	   4.9821	   1.2351	   0.0178
4800000000.0000	   7.9020	   5.0151	   1.2410	   0.0149
4880000000.0000	   7.8273	   4.9986	   1.2463	   0.0185
4960000000.0000	   7.7413	   5.0316	   1.2527	   0.0145
5040000000.0000	   7.6949	   5.0299	   1.2528	   0.0169
5120000000.0000	   7.6069	   5.0442	   1.2611	   0.0189
5200000000.0000	   7.5540	   5.0626	   1.2614	   0.0143
5280000000.0000	   7.4870	   5.0587	   1.2645	   0.0180
5360000000.0000	   7.4345	   5.0899	   1.2660	   0.0120
5440000000.0000	   7.3809	   5.0923	   1.2629	   0.0110
5520000000.0000	   7.3318	   5.1160	   1.2636	   0.0100
5600000000.0000	   7.2912	   5.1256	   1.2579	   0.0077
5680000000.0000	   7.2411	   5.1286	   1.2596	   0.0061
5760000000.0000	   7.2004	   5.1526	   1.2527	   0.0012
5840000000.0000	   7.1488	   5.1595	   1.2504	  -0.0001
5920000000.0000	   7.1175	   5.1847	   1.2482	  -0.0052
6000000000.0000	   7.0782	   5.1758	   1.2425	  -0.0093
6080000000.0000	   7.0219	   5.2135	   1.2395	  -0.0152
6160000000.0000	   7.0182	   5.2102	   1.2328	  -0.0158
6240000000.0000	   6.9524	   5.2207	   1.2346	  -0.0219
6320000000.0000	   6.9262	   5.2309	   1.2280	  -0.0284
6400000000.0000	   6.8736	   5.2380	   1.2254	  -0.0299
6480000000.0000	   6.8422	   5.2475	   1.2247	  -0.0369
6560000000.0000	   6.8043	   5.2245	   1.2217	  -0.0384
6640000000.0000	   6.7295	   5.2465	   1.2222	  -0.0444
6720000000.0000	   6.6995	   5.2494	   1.2188	  -0.0465
6800000000.0000	   6.6448	   5.2565	   1.2202	  -0.0495
6880000000.0000	   6.5963	   5.2419	   1.2199	  -0.0530
6960000000.0000	   6.5400	   5.2371	   1.2214	  -0.0544
7040000000.0000	   6.4905	   5.2430	   1.2220	  -0.0590
7120000000.0000	   6.4364	   5.2144	   1.2226	  -0.0587
7200000000.0000	   6.3794	   5.2260	   1.2265	  -0.0613
7280000000.0000	   6.3279	   5.1981	   1.2281	  -0.0611
7360000000.0000	   6.2565	   5.1911	   1.2336	  -0.0637
7440000000.0000	   6.2139	   5.1787	   1.2332	  -0.0638
7520000000.0000	   6.1356	   5.1582	   1.2405	  -0.0627
7600000000.0000	   6.0890	   5.1520	   1.2421	  -0.0650
7680000000.0000	   6.0228	   5.1013	   1.2477	  -0.0604
7760000000.0000	   5.9432	   5.1036	   1.2538	  -0.0619
7840000000.0000	   5.9008	   5.0628	   1.2577	  -0.0593
7920000000.0000	   5.8087	   5.0504	   1.2666	  -0.0590
8000000000.0000	   5.7581	   5.0342	   1.2689	  -0.0583
8080000000.0000	   5.6777	   4.9979	   1.2776	  -0.0546
8160000000.0000	   5.6157	   4.9906	   1.2823	  -0.0556
8240000000.0000	   5.5530	   4.9551	   1.2882	  -0.0501
8320000000.0000	   5.4738	   4.9378	   1.2985	  -0.0506
8400000000.0000	   5.4123	   4.9067	   1.3032	  -0.0494
8480000000.0000	   5.3286	   4.8944	   1.3113	  -0.0488
8560000000.0000	   5.2696	   4.8738	   1.3155	  -0.0457
8640000000.0000	   5.1965	   4.8429	   1.3242	  -0.0445
8720000000.0000	   5.1122	   4.8301	   1.3324	  -0.0450
8800000000.0000	   5.0408	   4.8155	   1.3389	  -0.0442
8880000000.0000	   4.9687	   4.8078	   1.3448	  -0.0446
8960000000.0000	   4.9081	   4.7727	   1.3517	  -0.0427
9040000000.0000	   4.8248	   4.7686	   1.3594	  -0.0460
9120000000.0000	   4.7686	   4.7445	   1.3635	  -0.0449
9200000000.0000	   4.6921	   4.7205	   1.3712	  -0.0468
9280000000.0000	   4.6418	   4.7062	   1.3733	  -0.0456
9360000000.0000	   4.5631	   4.6738	   1.3836	  -0.0444
9440000000.0000	   4.5125	   4.6720	   1.3852	  -0.0496
9520000000.0000	   4.4615	   4.6090	   1.3895	  -0.0435
9600000000.0000	   4.3984	   4.5977	   1.3939	  -0.0456
9680000000.0000	   4.3772	   4.5543	   1.3934	  -0.0397
9760000000.0000	   4.3162	   4.5073	   1.4026	  -0.0365
9840000000.0000	   4.2742	   4.4651	   1.4036	  -0.0354
9920000000.0000	   4.2281	   4.4046	   1.4099	  -0.0273
10000000000.0000	   4.1948	   4.3799	   1.4122	  -0.0264
10080000000.0000	   4.1874	   4.3118	   1.4132	  -0.0160
10160000000.0000	   4.1330	   4.2647	   1.4205	  -0.0120
10240000000.0000	   4.1222	   4.2037	   1.4178	  -0.0033
10320000000.0000	   4.0822	   4.1392	   1.4254	   0.0065
10400000000.0000	   4.0631	   4.0900	   1.4257	   0.0135
10480000000.0000	   4.0470	   4.0135	   1.4285	   0.0251
10560000000.0000	   4.0100	   3.9620	   1.4357	   0.0333
10640000000.0000	   3.9905	   3.8893	   1.4363	   0.0447
10720000000.0000	   3.9752	   3.8407	   1.4375	   0.0542
10800000000.0000	   3.9522	   3.7680	   1.4404	   0.0655
10880000000.0000	   3.9375	   3.7257	   1.4398	   0.0712
10960000000.0000	   3.9331	   3.6608	   1.4391	   0.0837
11040000000.0000	   3.9081	   3.6153	   1.4404	   0.0886
11120000000.0000	   3.9184	   3.5711	   1.4358	   0.0945
11200000000.0000	   3.8825	   3.5162	   1.4398	   0.1032
11280000000.0000	   3.8831	   3.5078	   1.4337	   0.0999
11360000000.0000	   3.8781	   3.4560	   1.4351	   0.1084
11440000000.0000	   3.8420	   3.4554	   1.4384	   0.1017
11520000000.0000	   3.8590	   3.4281	   1.4316	   0.1054
11600000000.0000	   3.8093	   3.4118	   1.4433	   0.1032
11680000000.0000	   3.7964	   3.4249	   1.4408	   0.0987
11760000000.0000	   3.7556	   3.3485	   1.4498	   0.1155
11840000000.0000	   3.6871	   3.3683	   1.4539	   0.1052
11920000000.0000	   3.7183	   3.3142	   1.4350	   0.1167
12000000000.0000	   3.6772	   3.2654	   1.4416	   0.1054
12080000000.0000	   3.6686	   3.2990	   1.4510	   0.0844
12160000000.0000	   3.6193	   3.2406	   1.4722	   0.0984
12240000000.0000	   3.5698	   3.2159	   1.4866	   0.1033
12320000000.0000	   3.5603	   3.1444	   1.4906	   0.1252
12400000000.0000	   3.5262	   3.0782	   1.4998	   0.1434
12480000000.0000	   3.5284	   3.0178	   1.4944	   0.1596
12560000000.0000	   3.5355	   2.9410	   1.4896	   0.1829
