frequency	e'	e''	u'	u''
2000000000.0000	   7.7782	   4.8381	   1.1926	   0.0439
2080000000.0000	   7.6582	   4.8061	   1.1899	   0.0437
2160000000.0000	   7.5666	   4.7649	   1.1909	   0.0363
2240000000.0000	   7.4681	   4.7145	   1.1960	   0.0364
2320000000.0000	   7.3613	   4.6868	   1.1946	   0.0252
2400000000.0000	   7.2962	   4.6424	   1.1903	   0.0219
2480000000.0000	   7.1974	   4.6096	   1.1887	   0.0215
2560000000.0000	   7.1314	   4.5747	   1.1851	   0.0138
2640000000.0000	   7.0530	   4.5358	   1.1772	   0.0194
2720000000.0000	   6.9773	   4.5128	   1.1802	   0.0116
2800000000.0000	   6.9347	   4.4727	   1.1692	   0.0115
2880000000.0000	   6.8545	   4.4506	   1.1703	   0.0120
2960000000.0000	   6.8209	   4.4225	   1.1615	   0.0045
3040000000.0000	   6.7487	   4.3770	   1.1620	   0.0110
3120000000.0000	   6.6950	   4.3726	   1.1602	   0.0025
3200000000.0000	   6.6479	   4.3307	   1.1477	   0.0040
3280000000.0000	   6.5848	   4.3247	   1.1525	   0.0080
3360000000.0000	   6.5500	   4.2964	   1.1424	   0.0008
3440000000.0000	   6.4733	   4.2641	   1.1415	   0.0077
3520000000.0000	   6.4371	   4.2656	   1.1384	   0.0046
3600000000.0000	   6.3813	   4.2169	   1.1338	   0.0078
3680000000.0000	   6.3145	   4.2086	   1.1380	   0.0073
3760000000.0000	   6.2672	   4.1837	   1.1281	   0.0044
3840000000.0000	   6.1961	   4.1603	   1.1308	   0.0102
3920000000.0000	   6.1454	   4.1495	   1.1275	   0.0074
4000000000.0000	   6.0820	   4.1149	   1.1289	   0.0101
4080000000.0000	   6.0153	   4.1102	   1.1313	   0.0103
4160000000.0000	   5.9595	   4.0880	   1.1312	   0.0086
4240000000.0000	   5.9016	   4.0695	   1.1363	   0.0127
4320000000.0000	   5.8336	   4.0491	   1.1386	   0.0118
4400000000.0000	   5.7763	   4.0289	   1.1432	   0.0123
4480000000.0000	   5.7045	   4.0135	   1.1466	   0.0144
4560000000.0000	   5.6416	   4.0012	   1.1512	   0.0142
4640000000.0000	   5.5870	   3.9851	   1.1553	   0.0165
4720000000.0000	   5.5135	   3.9725	   1.1632	   0.0186
4800000000.0000	   5.4639	   3.9734	   1.1660	   0.0160
4880000000.0000	   5.3997	   3.9477	   1.1728	   0.0205
4960000000.0000	   5.3406	   3.9569	   1.1765	   0.0148
5040000000.0000	   5.3032	   3.9357	   1.1772	   0.0189
