frequency	e'	e''	u'	u''
2000000000.0000	   8.2290	   7.4620	   0.8865	   0.0634
2080000000.0000	   8.0810	   7.3700	   0.9210	   0.0619
2160000000.0000	   7.9665	   7.2672	   0.9582	   0.0579
2240000000.0000	   7.8386	   7.1745	   0.9972	   0.0602
2320000000.0000	   7.7033	   7.0964	   1.0216	   0.0543
2400000000.0000	   7.6032	   7.0041	   1.0474	   0.0622
2480000000.0000	   7.4639	   6.9232	   1.0645	   0.0761
2560000000.0000	   7.3784	   6.8163	   1.0665	   0.0844
2640000000.0000	   7.2843	   6.7067	   1.0546	   0.0944
2720000000.0000	   7.2266	   6.6449	   1.0541	   0.0743
2800000000.0000	   7.1880	   6.5699	   1.0513	   0.0652
2880000000.0000	   7.1033	   6.5342	   1.0659	   0.0559
2960000000.0000	   7.0705	   6.4902	   1.0666	   0.0419
3040000000.0000	   6.9844	   6.4269	   1.0801	   0.0458
3120000000.0000	   6.9199	   6.4195	   1.0869	   0.0315
3200000000.0000	   6.8644	   6.3555	   1.0835	   0.0334
3280000000.0000	   6.7774	   6.3455	   1.0984	   0.0348
3360000000.0000	   6.7413	   6.3090	   1.0933	   0.0240
3440000000.0000	   6.6392	   6.2636	   1.0995	   0.0317
3520000000.0000	   6.5825	   6.2677	   1.1021	   0.0243
3600000000.0000	   6.5137	   6.2089	   1.1013	   0.0269
3680000000.0000	   6.4149	   6.2052	   1.1112	   0.0243
3760000000.0000	   6.3558	   6.1792	   1.1029	   0.0178
3840000000.0000	   6.2503	   6.1523	   1.1099	   0.0224
3920000000.0000	   6.1715	   6.1541	   1.1096	   0.0154
4000000000.0000	   6.0845	   6.1158	   1.1123	   0.0150
4080000000.0000	   5.9724	   6.1158	   1.1183	   0.0130
4160000000.0000	   5.8837	   6.0982	   1.1177	   0.0063
4240000000.0000	   5.7762	   6.0840	   1.1253	   0.0077
4320000000.0000	   5.6622	   6.0707	   1.1283	   0.0006
4400000000.0000	   5.5527	   6.0453	   1.1323	  -0.0031
4480000000.0000	   5.4128	   6.0214	   1.1371	  -0.0058
4560000000.0000	   5.2856	   6.0064	   1.1401	  -0.0133
4640000000.0000	   5.1562	   5.9657	   1.1447	  -0.0168
4720000000.0000	   5.0006	   5.9310	   1.1522	  -0.0246
4800000000.0000	   4.8766	   5.8973	   1.1551	  -0.0375
4880000000.0000	   4.7252	   5.8162	   1.1657	  -0.0438
4960000000.0000	   4.5896	   5.7695	   1.1732	  -0.0633
5040000000.0000	   4.4873	   5.6592	   1.1831	  -0.0692
5120000000.0000	   4.3525	   5.5676	   1.2015	  -0.0796
5200000000.0000	   4.2892	   5.4648	   1.2102	  -0.0916
5280000000.0000	   4.2139	   5.3387	   1.2287	  -0.0914
5360000000.0000	   4.1713	   5.2615	   1.2409	  -0.1029
5440000000.0000	   4.1545	   5.1490	   1.2509	  -0.1002
5520000000.0000	   4.1225	   5.0819	   1.2650	  -0.1011
5600000000.0000	   4.1430	   5.0151	   1.2668	  -0.1014
5680000000.0000	   4.1274	   4.9414	   1.2796	  -0.0960
5760000000.0000	   4.1337	   4.9181	   1.2781	  -0.0995
5840000000.0000	   4.1419	   4.8630	   1.2810	  -0.0936
5920000000.0000	   4.1339	   4.8450	   1.2852	  -0.0940
6000000000.0000	   4.1556	   4.8120	   1.2804	  -0.0954
6080000000.0000	   4.1323	   4.7919	   1.2821	  -0.0930
6160000000.0000	   4.1508	   4.7836	   1.2783	  -0.0939
6240000000.0000	   4.1399	   4.7535	   1.2791	  -0.0943
6320000000.0000	   4.1249	   4.7441	   1.2772	  -0.0971
6400000000.0000	   4.1212	   4.7372	   1.2734	  -0.0986
6480000000.0000	   4.1065	   4.7177	   1.2748	  -0.0996
6560000000.0000	   4.0901	   4.7036	   1.2729	  -0.1033
6640000000.0000	   4.0640	   4.6956	   1.2713	  -0.1063
6720000000.0000	   4.0361	   4.6819	   1.2718	  -0.1063
6800000000.0000	   4.0101	   4.6772	   1.2715	  -0.1116
6880000000.0000	   3.9801	   4.6325	   1.2728	  -0.1112
6960000000.0000	   3.9449	   4.6162	   1.2766	  -0.1149
7040000000.0000	   3.9386	   4.5989	   1.2749	  -0.1178
7120000000.0000	   3.9019	   4.5530	   1.2799	  -0.1155
7200000000.0000	   3.8805	   4.5592	   1.2813	  -0.1214
7280000000.0000	   3.8663	   4.5081	   1.2831	  -0.1164
7360000000.0000	   3.8115	   4.4971	   1.2907	  -0.1215
7440000000.0000	   3.8137	   4.4775	   1.2869	  -0.1214
7520000000.0000	   3.7597	   4.4328	   1.2970	  -0.1174
7600000000.0000	   3.7410	   4.4327	   1.2966	  -0.1241
7680000000.0000	   3.7222	   4.3743	   1.3007	  -0.1168
7760000000.0000	   3.6664	   4.3645	   1.3076	  -0.1199
7840000000.0000	   3.6736	   4.3313	   1.3070	  -0.1183
7920000000.0000	   3.6112	   4.2940	   1.3169	  -0.1160
8000000000.0000	   3.5916	   4.2925	   1.3168	  -0.1205
8080000000.0000	   3.5673	   4.2439	   1.3227	  -0.1146
8160000000.0000	   3.5171	   4.2317	   1.3297	  -0.1179
8240000000.0000	   3.5072	   4.2120	   1.3302	  -0.1160
8320000000.0000	   3.4598	   4.1728	   1.3414	  -0.1139
8400000000.0000	   3.4247	   4.1633	   1.3441	  -0.1183
8480000000.0000	   3.3940	   4.1356	   1.3494	  -0.1157
8560000000.0000	   3.3457	   4.1139	   1.3561	  -0.1146
8640000000.0000	   3.3225	   4.0948	   1.3597	  -0.1163
8720000000.0000	   3.2746	   4.0614	   1.3679	  -0.1130
8800000000.0000	   3.2286	   4.0552	   1.3732	  -0.1163
8880000000.0000	   3.2095	   4.0346	   1.3736	  -0.1135
8960000000.0000	   3.1726	   3.9969	   1.3799	  -0.1111
9040000000.0000	   3.1455	   4.0014	   1.3781	  -0.1169
9120000000.0000	   3.1322	   3.9747	   1.3776	  -0.1141
9200000000.0000	   3.0855	   3.9762	   1.3800	  -0.1241
9280000000.0000	   3.0851	   3.9814	   1.3738	  -0.1261
9360000000.0000	   3.0290	   3.9582	   1.3834	  -0.1296
9440000000.0000	   3.0032	   3.9884	   1.3797	  -0.1436
9520000000.0000	   2.9839	   3.9490	   1.3819	  -0.1408
9600000000.0000	   2.9276	   3.9606	   1.3857	  -0.1518
9680000000.0000	   2.9326	   3.9553	   1.3811	  -0.1528
9760000000.0000	   2.8806	   3.9231	   1.3917	  -0.1554
9840000000.0000	   2.8493	   3.9272	   1.3894	  -0.1648
9920000000.0000	   2.8246	   3.8914	   1.3959	  -0.1619
10000000000.0000	   2.7801	   3.8972	   1.3998	  -0.1721
10080000000.0000	   2.7853	   3.8772	   1.3987	  -0.1716
10160000000.0000	   2.7278	   3.8453	   1.4103	  -0.1750
10240000000.0000	   2.7090	   3.8412	   1.4091	  -0.1810
10320000000.0000	   2.6800	   3.8033	   1.4187	  -0.1793
10400000000.0000	   2.6373	   3.7886	   1.4255	  -0.1853
10480000000.0000	   2.6199	   3.7619	   1.4307	  -0.1866
10560000000.0000	   2.5678	   3.7218	   1.4475	  -0.1871
10640000000.0000	   2.5241	   3.6996	   1.4557	  -0.1923
10720000000.0000	   2.5008	   3.6727	   1.4656	  -0.1918
10800000000.0000	   2.4435	   3.6218	   1.4830	  -0.1928
10880000000.0000	   2.4006	   3.6040	   1.4934	  -0.1977
10960000000.0000	   2.3643	   3.5476	   1.5112	  -0.1910
11040000000.0000	   2.3000	   3.5131	   1.5293	  -0.1968
11120000000.0000	   2.2814	   3.4707	   1.5408	  -0.1918
11200000000.0000	   2.2137	   3.3963	   1.5689	  -0.1840
11280000000.0000	   2.1757	   3.3743	   1.5792	  -0.1845
11360000000.0000	   2.1590	   3.2919	   1.6010	  -0.1645
11440000000.0000	   2.0992	   3.2423	   1.6218	  -0.1603
11520000000.0000	   2.1150	   3.1852	   1.6244	  -0.1363
11600000000.0000	   2.0838	   3.1006	   1.6454	  -0.1151
11680000000.0000	   2.0961	   3.0752	   1.6369	  -0.0967
11760000000.0000	   2.1269	   2.9824	   1.6332	  -0.0553
11840000000.0000	   2.1172	   2.9695	   1.6161	  -0.0509
11920000000.0000	   2.2005	   2.9529	   1.5688	  -0.0323
12000000000.0000	   2.2130	   2.9225	   1.5505	  -0.0455
12080000000.0000	   2.2350	   2.9795	   1.5332	  -0.0795
12160000000.0000	   2.2515	   2.9759	   1.5293	  -0.0830
12240000000.0000	   2.2296	   3.0052	   1.5274	  -0.1038
12320000000.0000	   2.2379	   3.0274	   1.5193	  -0.1136
12400000000.0000	   2.2048	   3.0293	   1.5272	  -0.1258
12480000000.0000	   2.1761	   3.0573	   1.5243	  -0.1465
12560000000.0000	   2.1595	   3.0565	   1.5297	  -0.1532
12640000000.0000	   2.1081	   3.0551	   1.5407	  -0.1693
12720000000.0000	   2.0833	   3.0663	   1.5441	  -0.1827
12800000000.0000	   2.0489	   3.0405	   1.5586	  -0.1864
12880000000.0000	   1.9968	   3.0410	   1.5709	  -0.2048
12960000000.0000	   1.9802	   3.0238	   1.5799	  -0.2063
13040000000.0000	   1.9275	   2.9811	   1.6037	  -0.2135
13120000000.0000	   1.8874	   2.9826	   1.6134	  -0.2267
13200000000.0000	   1.8753	   2.9319	   1.6322	  -0.2171
13280000000.0000	   1.8059	   2.9017	   1.6569	  -0.2320
13360000000.0000	   1.8053	   2.8860	   1.6638	  -0.2248
13440000000.0000	   1.7607	   2.8112	   1.6991	  -0.2184
13520000000.0000	   1.7319	   2.8124	   1.7078	  -0.2259
13600000000.0000	   1.7413	   2.7368	   1.7315	  -0.1976
13680000000.0000	   1.6875	   2.6919	   1.7613	  -0.2020
13760000000.0000	   1.7102	   2.6556	   1.7673	  -0.1774
13840000000.0000	   1.6910	   2.5717	   1.8035	  -0.1541
13920000000.0000	   1.6906	   2.5479	   1.8101	  -0.1393
14000000000.0000	   1.7124	   2.4670	   1.8287	  -0.0936
14080000000.0000	   1.6928	   2.4228	   1.8450	  -0.0757
14160000000.0000	   1.7322	   2.3705	   1.8408	  -0.0317
14240000000.0000	   1.7337	   2.2941	   1.8567	   0.0048
14320000000.0000	   1.7653	   2.2595	   1.8434	   0.0342
14400000000.0000	   1.8011	   2.1845	   1.8455	   0.0810
14480000000.0000	   1.8180	   2.1383	   1.8441	   0.1118
