frequency	e'	e''	u'	u''
2000000000.0000	  10.6908	  15.1765	   1.1822	   0.1484
2080000000.0000	  10.4251	  14.8065	   1.1763	   0.1531
2160000000.0000	  10.2077	  14.4982	   1.1855	   0.1475
2240000000.0000	  10.0198	  14.1601	   1.1878	   0.1501
2320000000.0000	   9.7783	  13.8569	   1.1909	   0.1438
2400000000.0000	   9.6346	  13.5899	   1.1883	   0.1446
2480000000.0000	   9.4299	  13.2894	   1.1828	   0.1551
2560000000.0000	   9.2753	  13.0472	   1.1833	   0.1540
2640000000.0000	   9.1169	  12.7544	   1.1650	   0.1753
2720000000.0000	   8.9440	  12.5110	   1.1646	   0.1853
2800000000.0000	   8.8599	  12.2310	   1.1331	   0.2025
2880000000.0000	   8.7305	  11.9545	   1.1037	   0.2164
2960000000.0000	   8.7033	  11.7410	   1.0631	   0.2038
3040000000.0000	   8.6633	  11.4908	   1.0289	   0.1907
3120000000.0000	   8.6025	  11.3590	   1.0152	   0.1562
3200000000.0000	   8.5602	  11.1864	   0.9967	   0.1336
3280000000.0000	   8.4555	  11.0680	   1.0061	   0.1225
3360000000.0000	   8.4032	  10.9399	   1.0030	   0.1005
3440000000.0000	   8.2824	  10.7671	   1.0032	   0.1001
3520000000.0000	   8.1942	  10.6747	   1.0081	   0.0936
3600000000.0000	   8.1117	  10.5041	   1.0068	   0.0915
3680000000.0000	   7.9941	  10.3743	   1.0138	   0.0881
3760000000.0000	   7.9046	  10.2358	   1.0086	   0.0848
3840000000.0000	   7.7900	  10.0965	   1.0125	   0.0888
3920000000.0000	   7.7019	   9.9767	   1.0125	   0.0866
4000000000.0000	   7.5986	   9.8273	   1.0177	   0.0876
4080000000.0000	   7.4907	   9.7076	   1.0201	   0.0894
4160000000.0000	   7.3824	   9.5715	   1.0246	   0.0911
4240000000.0000	   7.2902	   9.4644	   1.0324	   0.0942
4320000000.0000	   7.1912	   9.3198	   1.0359	   0.0978
4400000000.0000	   7.0850	   9.2074	   1.0446	   0.1009
4480000000.0000	   6.9900	   9.0780	   1.0453	   0.1060
4560000000.0000	   6.8845	   8.9609	   1.0514	   0.1123
