frequency	e'	e''	u'	u''
2000000000.0000	  13.1672	  13.9128	   1.2132	   0.1085
2080000000.0000	  12.8265	  13.7186	   1.2110	   0.1095
2160000000.0000	  12.5477	  13.5637	   1.2231	   0.0996
2240000000.0000	  12.2942	  13.3647	   1.2306	   0.1005
2320000000.0000	  12.0010	  13.2080	   1.2371	   0.0918
2400000000.0000	  11.8100	  13.0530	   1.2373	   0.0905
2480000000.0000	  11.5646	  12.8809	   1.2368	   0.0995
2560000000.0000	  11.3852	  12.7654	   1.2391	   0.0970
2640000000.0000	  11.1925	  12.6050	   1.2236	   0.1147
2720000000.0000	  11.0023	  12.5140	   1.2275	   0.1190
2800000000.0000	  10.8792	  12.3974	   1.2068	   0.1297
2880000000.0000	  10.6873	  12.3109	   1.1944	   0.1422
2960000000.0000	  10.5731	  12.2671	   1.1709	   0.1415
3040000000.0000	  10.4004	  12.1694	   1.1476	   0.1534
3120000000.0000	  10.2210	  12.1706	   1.1247	   0.1427
3200000000.0000	  10.0492	  12.1035	   1.0854	   0.1364
3280000000.0000	   9.8057	  12.0875	   1.0716	   0.1278
3360000000.0000	   9.6185	  12.0455	   1.0451	   0.0972
3440000000.0000	   9.3284	  11.9354	   1.0297	   0.0841
3520000000.0000	   9.0858	  11.8775	   1.0276	   0.0564
3600000000.0000	   8.8488	  11.7096	   1.0259	   0.0383
3680000000.0000	   8.5877	  11.5640	   1.0389	   0.0189
3760000000.0000	   8.3898	  11.3832	   1.0413	   0.0043
3840000000.0000	   8.1746	  11.1957	   1.0568	   0.0025
3920000000.0000	   8.0115	  11.0328	   1.0681	  -0.0047
4000000000.0000	   7.8552	  10.8374	   1.0840	  -0.0036
4080000000.0000	   7.6995	  10.6836	   1.0964	   0.0003
4160000000.0000	   7.5715	  10.5214	   1.1075	   0.0032
4240000000.0000	   7.4536	  10.3924	   1.1218	   0.0113
4320000000.0000	   7.3342	  10.2406	   1.1303	   0.0167
4400000000.0000	   7.2218	  10.1282	   1.1409	   0.0224
4480000000.0000	   7.1071	  10.0078	   1.1448	   0.0297
4560000000.0000	   6.9824	   9.9097	   1.1542	   0.0370
4640000000.0000	   6.8823	   9.8222	   1.1587	   0.0423
4720000000.0000	   6.7526	   9.7243	   1.1668	   0.0508
4800000000.0000	   6.6426	   9.6801	   1.1711	   0.0500
4880000000.0000	   6.5420	   9.5812	   1.1753	   0.0572
4960000000.0000	   6.4068	   9.5454	   1.1795	   0.0537
5040000000.0000	   6.3314	   9.4740	   1.1775	   0.0567
5120000000.0000	   6.1945	   9.4162	   1.1842	   0.0594
5200000000.0000	   6.1033	   9.3790	   1.1819	   0.0525
5280000000.0000	   5.9949	   9.3009	   1.1837	   0.0565
5360000000.0000	   5.8889	   9.2810	   1.1836	   0.0460
5440000000.0000	   5.7973	   9.2151	   1.1785	   0.0443
5520000000.0000	   5.6920	   9.1849	   1.1799	   0.0401
5600000000.0000	   5.6223	   9.1339	   1.1708	   0.0336
5680000000.0000	   5.5239	   9.0633	   1.1741	   0.0311
5760000000.0000	   5.4447	   9.0402	   1.1656	   0.0209
5840000000.0000	   5.3652	   8.9730	   1.1624	   0.0174
5920000000.0000	   5.2901	   8.9304	   1.1627	   0.0098
6000000000.0000	   5.2323	   8.8618	   1.1562	   0.0009
6080000000.0000	   5.1336	   8.8225	   1.1549	  -0.0063
6160000000.0000	   5.1082	   8.7721	   1.1495	  -0.0109
6240000000.0000	   5.0224	   8.6982	   1.1534	  -0.0186
6320000000.0000	   4.9715	   8.6498	   1.1490	  -0.0276
6400000000.0000	   4.9057	   8.5845	   1.1475	  -0.0305
6480000000.0000	   4.8554	   8.5352	   1.1495	  -0.0391
6560000000.0000	   4.8213	   8.4560	   1.1475	  -0.0425
6640000000.0000	   4.7386	   8.4004	   1.1503	  -0.0486
6720000000.0000	   4.7023	   8.3444	   1.1491	  -0.0508
6800000000.0000	   4.6396	   8.2905	   1.1532	  -0.0550
6880000000.0000	   4.5949	   8.2215	   1.1544	  -0.0580
6960000000.0000	   4.5378	   8.1595	   1.1584	  -0.0598
7040000000.0000	   4.4931	   8.1185	   1.1597	  -0.0648
7120000000.0000	   4.4466	   8.0294	   1.1619	  -0.0631
7200000000.0000	   4.3823	   7.9926	   1.1679	  -0.0666
7280000000.0000	   4.3515	   7.9165	   1.1688	  -0.0647
7360000000.0000	   4.2703	   7.8581	   1.1773	  -0.0667
7440000000.0000	   4.2461	   7.8120	   1.1760	  -0.0669
7520000000.0000	   4.1732	   7.7305	   1.1847	  -0.0636
7600000000.0000	   4.1275	   7.6966	   1.1863	  -0.0678
7680000000.0000	   4.0898	   7.6045	   1.1905	  -0.0617
7760000000.0000	   4.0030	   7.5540	   1.1990	  -0.0621
7840000000.0000	   3.9796	   7.4854	   1.2011	  -0.0604
7920000000.0000	   3.8916	   7.4125	   1.2109	  -0.0575
8000000000.0000	   3.8474	   7.3706	   1.2134	  -0.0580
8080000000.0000	   3.7859	   7.2798	   1.2215	  -0.0515
8160000000.0000	   3.7146	   7.2338	   1.2277	  -0.0527
8240000000.0000	   3.6716	   7.1609	   1.2324	  -0.0463
8320000000.0000	   3.5949	   7.0858	   1.2449	  -0.0444
8400000000.0000	   3.5368	   7.0230	   1.2501	  -0.0449
8480000000.0000	   3.4569	   6.9535	   1.2601	  -0.0423
8560000000.0000	   3.3915	   6.8956	   1.2664	  -0.0383
8640000000.0000	   3.3310	   6.8247	   1.2759	  -0.0371
8720000000.0000	   3.2493	   6.7587	   1.2865	  -0.0358
8800000000.0000	   3.1721	   6.7009	   1.2965	  -0.0354
8880000000.0000	   3.1042	   6.6483	   1.3039	  -0.0344
8960000000.0000	   3.0450	   6.5719	   1.3144	  -0.0313
9040000000.0000	   2.9618	   6.5232	   1.3259	  -0.0349
9120000000.0000	   2.9089	   6.4589	   1.3334	  -0.0326
9200000000.0000	   2.8268	   6.3944	   1.3463	  -0.0348
9280000000.0000	   2.7794	   6.3493	   1.3520	  -0.0329
9360000000.0000	   2.7022	   6.2633	   1.3685	  -0.0286
9440000000.0000	   2.6346	   6.2308	   1.3772	  -0.0358
9520000000.0000	   2.6041	   6.1405	   1.3851	  -0.0278
9600000000.0000	   2.5277	   6.0867	   1.3971	  -0.0288
9680000000.0000	   2.5092	   6.0277	   1.4017	  -0.0226
9760000000.0000	   2.4491	   5.9374	   1.4194	  -0.0148
9840000000.0000	   2.4068	   5.8707	   1.4276	  -0.0129
9920000000.0000	   2.3711	   5.7697	   1.4431	   0.0017
10000000000.0000	   2.3226	   5.7104	   1.4569	   0.0071
10080000000.0000	   2.3255	   5.6176	   1.4660	   0.0253
10160000000.0000	   2.2700	   5.5089	   1.4875	   0.0424
10240000000.0000	   2.2592	   5.4174	   1.4954	   0.0621
10320000000.0000	   2.2395	   5.2904	   1.5137	   0.0930
10400000000.0000	   2.2278	   5.1845	   1.5249	   0.1230
10480000000.0000	   2.2396	   5.0497	   1.5340	   0.1633
10560000000.0000	   2.2388	   4.9138	   1.5455	   0.2100
10640000000.0000	   2.2659	   4.7786	   1.5402	   0.2598
10720000000.0000	   2.3127	   4.6578	   1.5281	   0.3149
10800000000.0000	   2.3653	   4.5188	   1.5043	   0.3715
10880000000.0000	   2.4299	   4.4182	   1.4659	   0.4184
10960000000.0000	   2.5310	   4.3133	   1.4126	   0.4639
11040000000.0000	   2.6086	   4.2385	   1.3543	   0.4890
11120000000.0000	   2.7277	   4.1907	   1.2858	   0.4946
