frequency	e'	e''	u'	u''
2000000000.0000	   6.7651	   6.2979	   1.2977	   0.1328
2080000000.0000	   6.6249	   6.1884	   1.2948	   0.1367
2160000000.0000	   6.5099	   6.0956	   1.3060	   0.1323
2240000000.0000	   6.4086	   5.9859	   1.3091	   0.1393
2320000000.0000	   6.2783	   5.9011	   1.3134	   0.1349
2400000000.0000	   6.2074	   5.8154	   1.3101	   0.1376
2480000000.0000	   6.1058	   5.7236	   1.3053	   0.1496
2560000000.0000	   6.0325	   5.6522	   1.3035	   0.1479
2640000000.0000	   5.9636	   5.5682	   1.2828	   0.1625
2720000000.0000	   5.8835	   5.5073	   1.2834	   0.1675
2800000000.0000	   5.8535	   5.4471	   1.2571	   0.1721
2880000000.0000	   5.7797	   5.3804	   1.2420	   0.1819
2960000000.0000	   5.7431	   5.3456	   1.2185	   0.1762
3040000000.0000	   5.6898	   5.2832	   1.1962	   0.1806
3120000000.0000	   5.6231	   5.2646	   1.1794	   0.1678
3200000000.0000	   5.5776	   5.2236	   1.1484	   0.1578
3280000000.0000	   5.5005	   5.1949	   1.1377	   0.1508
3360000000.0000	   5.4401	   5.1699	   1.1207	   0.1271
3440000000.0000	   5.3500	   5.1249	   1.1089	   0.1157
3520000000.0000	   5.2756	   5.1023	   1.1053	   0.0965
3600000000.0000	   5.1954	   5.0428	   1.1030	   0.0818
3680000000.0000	   5.1015	   4.9977	   1.1105	   0.0661
3760000000.0000	   5.0228	   4.9445	   1.1117	   0.0520
3840000000.0000	   4.9384	   4.8809	   1.1209	   0.0458
3920000000.0000	   4.8662	   4.8187	   1.1280	   0.0400
4000000000.0000	   4.7867	   4.7466	   1.1428	   0.0375
4080000000.0000	   4.7231	   4.6861	   1.1516	   0.0362
4160000000.0000	   4.6584	   4.6134	   1.1628	   0.0387
4240000000.0000	   4.6065	   4.5538	   1.1748	   0.0439
4320000000.0000	   4.5509	   4.4816	   1.1837	   0.0493
4400000000.0000	   4.4961	   4.4247	   1.1962	   0.0548
4480000000.0000	   4.4520	   4.3672	   1.1997	   0.0609
4560000000.0000	   4.3977	   4.3167	   1.2092	   0.0699
4640000000.0000	   4.3636	   4.2733	   1.2134	   0.0748
4720000000.0000	   4.3143	   4.2227	   1.2213	   0.0846
4800000000.0000	   4.2759	   4.2020	   1.2250	   0.0859
4880000000.0000	   4.2436	   4.1564	   1.2277	   0.0939
4960000000.0000	   4.1933	   4.1379	   1.2310	   0.0930
5040000000.0000	   4.1745	   4.1100	   1.2276	   0.0967
5120000000.0000	   4.1256	   4.0860	   1.2329	   0.1007
5200000000.0000	   4.0965	   4.0755	   1.2301	   0.0959
5280000000.0000	   4.0653	   4.0488	   1.2297	   0.0993
5360000000.0000	   4.0302	   4.0445	   1.2274	   0.0923
5440000000.0000	   4.0003	   4.0260	   1.2215	   0.0904
5520000000.0000	   3.9682	   4.0223	   1.2208	   0.0874
5600000000.0000	   3.9480	   4.0116	   1.2123	   0.0828
5680000000.0000	   3.9163	   3.9925	   1.2135	   0.0788
5760000000.0000	   3.8897	   3.9934	   1.2043	   0.0699
5840000000.0000	   3.8603	   3.9776	   1.2009	   0.0667
5920000000.0000	   3.8442	   3.9796	   1.1985	   0.0578
6000000000.0000	   3.8229	   3.9572	   1.1921	   0.0513
6080000000.0000	   3.7896	   3.9644	   1.1889	   0.0425
6160000000.0000	   3.7882	   3.9559	   1.1824	   0.0394
6240000000.0000	   3.7535	   3.9485	   1.1835	   0.0310
6320000000.0000	   3.7332	   3.9549	   1.1763	   0.0210
6400000000.0000	   3.6878	   3.9533	   1.1717	   0.0168
6480000000.0000	   3.6309	   3.9395	   1.1729	   0.0027
6560000000.0000	   3.5974	   3.8778	   1.1745	  -0.0044
6640000000.0000	   3.5687	   3.8421	   1.1798	  -0.0109
6720000000.0000	   3.5781	   3.8164	   1.1791	  -0.0132
6800000000.0000	   3.5679	   3.7940	   1.1829	  -0.0139
6880000000.0000	   3.5575	   3.7768	   1.1836	  -0.0183
6960000000.0000	   3.5484	   3.7598	   1.1863	  -0.0188
7040000000.0000	   3.5374	   3.7554	   1.1877	  -0.0231
7120000000.0000	   3.5259	   3.7318	   1.1882	  -0.0226
7200000000.0000	   3.5103	   3.7327	   1.1926	  -0.0239
7280000000.0000	   3.5007	   3.7135	   1.1935	  -0.0233
7360000000.0000	   3.4723	   3.7081	   1.1992	  -0.0258
7440000000.0000	   3.4665	   3.7086	   1.1976	  -0.0252
7520000000.0000	   3.4374	   3.6996	   1.2036	  -0.0230
7600000000.0000	   3.4204	   3.7079	   1.2053	  -0.0263
7680000000.0000	   3.3937	   3.6947	   1.2095	  -0.0221
7760000000.0000	   3.3560	   3.7129	   1.2148	  -0.0236
7840000000.0000	   3.3350	   3.7100	   1.2173	  -0.0216
7920000000.0000	   3.2760	   3.7214	   1.2262	  -0.0214
8000000000.0000	   3.2354	   3.7421	   1.2289	  -0.0227
8080000000.0000	   3.1726	   3.7450	   1.2367	  -0.0192
8160000000.0000	   3.0978	   3.7650	   1.2442	  -0.0211
8240000000.0000	   3.0202	   3.7702	   1.2510	  -0.0171
8320000000.0000	   2.9153	   3.7673	   1.2647	  -0.0177
8400000000.0000	   2.8108	   3.7472	   1.2727	  -0.0174
8480000000.0000	   2.6880	   3.7061	   1.2852	  -0.0126
8560000000.0000	   2.5785	   3.6465	   1.2946	  -0.0058
8640000000.0000	   2.4818	   3.5539	   1.3071	   0.0011
8720000000.0000	   2.3982	   3.4583	   1.3168	   0.0088
8800000000.0000	   2.3439	   3.3539	   1.3250	   0.0190
