frequency	e'	e''	u'	u''
2000000000.0000	   4.3779	   1.9137	   1.2602	   0.6213
2080000000.0000	   4.3348	   1.9138	   1.2405	   0.6117
2160000000.0000	   4.3019	   1.8938	   1.2194	   0.6089
2240000000.0000	   4.2602	   1.8821	   1.2107	   0.6095
2320000000.0000	   4.2222	   1.8904	   1.1882	   0.5932
2400000000.0000	   4.2043	   1.8728	   1.1645	   0.5941
2480000000.0000	   4.1703	   1.8770	   1.1453	   0.5871
2560000000.0000	   4.1540	   1.8702	   1.1192	   0.5787
2640000000.0000	   4.1308	   1.8659	   1.0892	   0.5802
2720000000.0000	   4.1035	   1.8752	   1.0701	   0.5629
2800000000.0000	   4.1047	   1.8676	   1.0318	   0.5582
2880000000.0000	   4.0744	   1.8763	   1.0150	   0.5492
2960000000.0000	   4.0758	   1.8838	   0.9757	   0.5299
3040000000.0000	   4.0496	   1.8797	   0.9573	   0.5289
3120000000.0000	   4.0314	   1.9114	   0.9348	   0.4989
3200000000.0000	   4.0240	   1.9109	   0.8951	   0.4857
3280000000.0000	   3.9903	   1.9312	   0.8841	   0.4715
3360000000.0000	   3.9801	   1.9527	   0.8513	   0.4427
3440000000.0000	   3.9409	   1.9602	   0.8361	   0.4283
3520000000.0000	   3.9187	   1.9934	   0.8174	   0.3943
3600000000.0000	   3.8849	   1.9927	   0.7960	   0.3766
3680000000.0000	   3.8314	   2.0176	   0.7984	   0.3489
3760000000.0000	   3.8018	   2.0362	   0.7774	   0.3129
3840000000.0000	   3.7457	   2.0336	   0.7769	   0.2945
3920000000.0000	   3.6978	   2.0560	   0.7734	   0.2620
4000000000.0000	   3.6472	   2.0470	   0.7773	   0.2414
4080000000.0000	   3.5874	   2.0558	   0.7888	   0.2146
4160000000.0000	   3.5417	   2.0495	   0.7912	   0.1870
4240000000.0000	   3.4844	   2.0322	   0.8066	   0.1765
4320000000.0000	   3.4289	   2.0271	   0.8250	   0.1542
4400000000.0000	   3.3819	   2.0010	   0.8401	   0.1415
4480000000.0000	   3.3234	   1.9849	   0.8620	   0.1311
4560000000.0000	   3.2801	   1.9700	   0.8793	   0.1193
4640000000.0000	   3.2417	   1.9374	   0.8992	   0.1165
4720000000.0000	   3.1943	   1.9224	   0.9257	   0.1135
4800000000.0000	   3.1732	   1.9012	   0.9386	   0.1070
4880000000.0000	   3.1371	   1.8705	   0.9636	   0.1165
4960000000.0000	   3.1170	   1.8678	   0.9781	   0.1094
5040000000.0000	   3.1128	   1.8367	   0.9863	   0.1220
5120000000.0000	   3.0874	   1.8378	   1.0073	   0.1308
5200000000.0000	   3.0967	   1.8412	   1.0028	   0.1315
5280000000.0000	   3.0856	   1.8452	   1.0091	   0.1483
5360000000.0000	   3.0736	   1.8924	   1.0012	   0.1394
