frequency	e'	e''	u'	u''
2000000000.0000	   9.1465	   7.8753	   0.8274	   0.5067
2080000000.0000	   8.9885	   7.7599	   0.8600	   0.5136
2160000000.0000	   8.8748	   7.6586	   0.8869	   0.5013
2240000000.0000	   8.7730	   7.5512	   0.9140	   0.4948
2320000000.0000	   8.6329	   7.4739	   0.9398	   0.4829
2400000000.0000	   8.5571	   7.3938	   0.9554	   0.4784
2480000000.0000	   8.4340	   7.3061	   0.9661	   0.4830
2560000000.0000	   8.3492	   7.2404	   0.9772	   0.4743
2640000000.0000	   8.2631	   7.1557	   0.9684	   0.4824
2720000000.0000	   8.1774	   7.1033	   0.9759	   0.4741
2800000000.0000	   8.1420	   7.0360	   0.9623	   0.4663
2880000000.0000	   8.0587	   6.9876	   0.9610	   0.4617
2960000000.0000	   8.0250	   6.9600	   0.9547	   0.4431
3040000000.0000	   7.9592	   6.9028	   0.9501	   0.4418
3120000000.0000	   7.8918	   6.9022	   0.9501	   0.4248
3200000000.0000	   7.8426	   6.8645	   0.9345	   0.4179
3280000000.0000	   7.7617	   6.8640	   0.9369	   0.4149
3360000000.0000	   7.7162	   6.8537	   0.9230	   0.3977
3440000000.0000	   7.6173	   6.8291	   0.9162	   0.3968
3520000000.0000	   7.5509	   6.8519	   0.9102	   0.3846
3600000000.0000	   7.4674	   6.8270	   0.8999	   0.3769
3680000000.0000	   7.3595	   6.8369	   0.8984	   0.3650
3760000000.0000	   7.2634	   6.8364	   0.8848	   0.3509
3840000000.0000	   7.1369	   6.8339	   0.8821	   0.3420
3920000000.0000	   7.0280	   6.8401	   0.8754	   0.3251
4000000000.0000	   6.8921	   6.8248	   0.8748	   0.3124
4080000000.0000	   6.7490	   6.8253	   0.8742	   0.2966
4160000000.0000	   6.6030	   6.8017	   0.8757	   0.2800
4240000000.0000	   6.4581	   6.7868	   0.8827	   0.2650
4320000000.0000	   6.3031	   6.7367	   0.8878	   0.2486
4400000000.0000	   6.1451	   6.6987	   0.8997	   0.2327
4480000000.0000	   5.9891	   6.6436	   0.9074	   0.2188
4560000000.0000	   5.8337	   6.5813	   0.9224	   0.2061
4640000000.0000	   5.7001	   6.5178	   0.9353	   0.1927
4720000000.0000	   5.5558	   6.4357	   0.9532	   0.1848
4800000000.0000	   5.4349	   6.3813	   0.9686	   0.1709
4880000000.0000	   5.3264	   6.2860	   0.9842	   0.1658
4960000000.0000	   5.2131	   6.2261	   1.0009	   0.1536
5040000000.0000	   5.1406	   6.1441	   1.0117	   0.1495
5120000000.0000	   5.0399	   6.0762	   1.0298	   0.1466
5200000000.0000	   4.9777	   6.0206	   1.0387	   0.1372
5280000000.0000	   4.9071	   5.9475	   1.0500	   0.1392
5360000000.0000	   4.8432	   5.9145	   1.0588	   0.1299
5440000000.0000	   4.7850	   5.8646	   1.0598	   0.1274
5520000000.0000	   4.7027	   5.8471	   1.0649	   0.1227
5600000000.0000	   4.6154	   5.8157	   1.0592	   0.1123
5680000000.0000	   4.4805	   5.7285	   1.0667	   0.0988
5760000000.0000	   4.3842	   5.5930	   1.0743	   0.0787
5840000000.0000	   4.3824	   5.4234	   1.0919	   0.0761
5920000000.0000	   4.4302	   5.3321	   1.1051	   0.0770
6000000000.0000	   4.4770	   5.2593	   1.1072	   0.0786
6080000000.0000	   4.4892	   5.2358	   1.1090	   0.0795
6160000000.0000	   4.5324	   5.2059	   1.1058	   0.0812
6240000000.0000	   4.5313	   5.1760	   1.1087	   0.0782
6320000000.0000	   4.5461	   5.1645	   1.1048	   0.0722
6400000000.0000	   4.5439	   5.1453	   1.1036	   0.0709
6480000000.0000	   4.5452	   5.1340	   1.1068	   0.0640
6560000000.0000	   4.5431	   5.1102	   1.1072	   0.0620
6640000000.0000	   4.5122	   5.1092	   1.1111	   0.0577
6720000000.0000	   4.5047	   5.0935	   1.1112	   0.0586
6800000000.0000	   4.4758	   5.0834	   1.1152	   0.0582
6880000000.0000	   4.4503	   5.0561	   1.1153	   0.0578
6960000000.0000	   4.4191	   5.0282	   1.1185	   0.0588
7040000000.0000	   4.4014	   5.0119	   1.1185	   0.0559
7120000000.0000	   4.3791	   4.9669	   1.1181	   0.0587
7200000000.0000	   4.3528	   4.9571	   1.1216	   0.0573
7280000000.0000	   4.3406	   4.9165	   1.1204	   0.0600
7360000000.0000	   4.2994	   4.8953	   1.1258	   0.0586
7440000000.0000	   4.2938	   4.8768	   1.1226	   0.0587
7520000000.0000	   4.2523	   4.8398	   1.1279	   0.0623
7600000000.0000	   4.2329	   4.8321	   1.1283	   0.0591
7680000000.0000	   4.2115	   4.7869	   1.1300	   0.0650
7760000000.0000	   4.1609	   4.7802	   1.1350	   0.0648
7840000000.0000	   4.1421	   4.7500	   1.1352	   0.0666
7920000000.0000	   4.0667	   4.7209	   1.1420	   0.0686
8000000000.0000	   4.0331	   4.6959	   1.1427	   0.0680
8080000000.0000	   3.9868	   4.6362	   1.1479	   0.0741
8160000000.0000	   3.9421	   4.6037	   1.1521	   0.0742
8240000000.0000	   3.9178	   4.5530	   1.1539	   0.0803
