frequency	e'	e''	u'	u''
2000000000.0000	  10.5452	   8.5057	   1.1512	   0.1167
2080000000.0000	  10.3689	   8.3828	   1.1482	   0.1178
2160000000.0000	  10.2310	   8.2804	   1.1586	   0.1105
2240000000.0000	  10.1081	   8.1520	   1.1626	   0.1132
2320000000.0000	   9.9451	   8.0507	   1.1695	   0.1060
2400000000.0000	   9.8607	   7.9506	   1.1698	   0.1057
2480000000.0000	   9.7321	   7.8404	   1.1694	   0.1152
2560000000.0000	   9.6541	   7.7543	   1.1732	   0.1142
2640000000.0000	   9.5662	   7.6516	   1.1610	   0.1329
2720000000.0000	   9.4915	   7.5884	   1.1655	   0.1408
2800000000.0000	   9.4660	   7.5131	   1.1470	   0.1554
2880000000.0000	   9.3953	   7.4649	   1.1348	   0.1749
2960000000.0000	   9.3886	   7.4515	   1.1094	   0.1827
3040000000.0000	   9.3356	   7.4286	   1.0774	   0.2003
3120000000.0000	   9.2661	   7.4936	   1.0422	   0.1957
3200000000.0000	   9.1725	   7.5295	   0.9904	   0.1835
3280000000.0000	   9.0011	   7.6022	   0.9628	   0.1610
3360000000.0000	   8.8250	   7.6193	   0.9342	   0.1139
3440000000.0000	   8.5750	   7.5688	   0.9274	   0.0803
3520000000.0000	   8.3815	   7.5099	   0.9381	   0.0435
3600000000.0000	   8.2070	   7.3638	   0.9529	   0.0212
3680000000.0000	   8.0403	   7.2441	   0.9782	   0.0054
3760000000.0000	   7.9202	   7.1025	   0.9918	  -0.0027
3840000000.0000	   7.8065	   6.9735	   1.0117	  -0.0001
3920000000.0000	   7.7323	   6.8618	   1.0244	   0.0011
4000000000.0000	   7.6455	   6.7400	   1.0395	   0.0075
4080000000.0000	   7.5720	   6.6535	   1.0491	   0.0149
4160000000.0000	   7.5016	   6.5635	   1.0581	   0.0219
4240000000.0000	   7.4472	   6.4951	   1.0678	   0.0307
4320000000.0000	   7.3780	   6.4069	   1.0731	   0.0381
4400000000.0000	   7.3132	   6.3511	   1.0809	   0.0448
4480000000.0000	   7.2477	   6.2905	   1.0826	   0.0520
4560000000.0000	   7.1709	   6.2449	   1.0892	   0.0593
4640000000.0000	   7.1157	   6.2081	   1.0915	   0.0634
4720000000.0000	   7.0337	   6.1621	   1.0977	   0.0711
4800000000.0000	   6.9704	   6.1543	   1.1008	   0.0710
4880000000.0000	   6.9093	   6.1054	   1.1035	   0.0765
4960000000.0000	   6.8274	   6.1041	   1.1072	   0.0736
5040000000.0000	   6.7850	   6.0737	   1.1048	   0.0764
5120000000.0000	   6.6981	   6.0568	   1.1112	   0.0789
5200000000.0000	   6.6455	   6.0489	   1.1093	   0.0734
5280000000.0000	   6.5747	   6.0182	   1.1110	   0.0767
5360000000.0000	   6.5121	   6.0221	   1.1118	   0.0690
5440000000.0000	   6.4557	   5.9929	   1.1079	   0.0678
5520000000.0000	   6.3942	   5.9927	   1.1087	   0.0653
5600000000.0000	   6.3484	   5.9702	   1.1025	   0.0613
5680000000.0000	   6.2856	   5.9413	   1.1053	   0.0594
5760000000.0000	   6.2393	   5.9360	   1.0989	   0.0524
5840000000.0000	   6.1830	   5.9070	   1.0969	   0.0510
5920000000.0000	   6.1449	   5.8958	   1.0965	   0.0452
6000000000.0000	   6.1048	   5.8530	   1.0915	   0.0401
6080000000.0000	   6.0424	   5.8473	   1.0904	   0.0348
6160000000.0000	   6.0344	   5.8133	   1.0853	   0.0335
6240000000.0000	   5.9737	   5.7799	   1.0879	   0.0283
6320000000.0000	   5.9488	   5.7514	   1.0832	   0.0222
6400000000.0000	   5.9048	   5.7149	   1.0809	   0.0217
6480000000.0000	   5.8779	   5.6864	   1.0813	   0.0168
6560000000.0000	   5.8550	   5.6282	   1.0784	   0.0158
6640000000.0000	   5.8013	   5.6084	   1.0786	   0.0118
6720000000.0000	   5.7872	   5.5736	   1.0751	   0.0114
6800000000.0000	   5.7521	   5.5446	   1.0763	   0.0099
6880000000.0000	   5.7230	   5.5004	   1.0755	   0.0077
6960000000.0000	   5.6901	   5.4666	   1.0761	   0.0073
7040000000.0000	   5.6695	   5.4449	   1.0758	   0.0035
7120000000.0000	   5.6360	   5.3934	   1.0757	   0.0050
7200000000.0000	   5.6029	   5.3811	   1.0789	   0.0032
7280000000.0000	   5.5793	   5.3337	   1.0789	   0.0046
7360000000.0000	   5.5242	   5.3128	   1.0849	   0.0030
7440000000.0000	   5.5088	   5.2824	   1.0832	   0.0040
7520000000.0000	   5.4481	   5.2416	   1.0897	   0.0069
7600000000.0000	   5.4193	   5.2264	   1.0905	   0.0050
7680000000.0000	   5.3769	   5.1648	   1.0942	   0.0113
