frequency	e'	e''	u'	u''
2000000000.0000	   9.5806	   6.6880	   1.0365	   0.1679
2080000000.0000	   9.4105	   6.6051	   1.0269	   0.1698
2160000000.0000	   9.2772	   6.5353	   1.0299	   0.1602
2240000000.0000	   9.1513	   6.4396	   1.0267	   0.1597
2320000000.0000	   8.9970	   6.3768	   1.0250	   0.1497
2400000000.0000	   8.9079	   6.3063	   1.0161	   0.1430
2480000000.0000	   8.7768	   6.2288	   1.0081	   0.1441
2560000000.0000	   8.6830	   6.1735	   1.0058	   0.1333
2640000000.0000	   8.5829	   6.0980	   0.9879	   0.1358
2720000000.0000	   8.4793	   6.0504	   0.9912	   0.1296
2800000000.0000	   8.4196	   5.9835	   0.9764	   0.1246
2880000000.0000	   8.3173	   5.9253	   0.9725	   0.1245
2960000000.0000	   8.2639	   5.8804	   0.9636	   0.1129
3040000000.0000	   8.1819	   5.8030	   0.9567	   0.1170
3120000000.0000	   8.1057	   5.7756	   0.9548	   0.1071
3200000000.0000	   8.0453	   5.7121	   0.9391	   0.1046
3280000000.0000	   7.9682	   5.6771	   0.9403	   0.1077
3360000000.0000	   7.9179	   5.6292	   0.9295	   0.0984
3440000000.0000	   7.8258	   5.5714	   0.9240	   0.1030
3520000000.0000	   7.7763	   5.5506	   0.9197	   0.0992
3600000000.0000	   7.7083	   5.4818	   0.9143	   0.0997
3680000000.0000	   7.6307	   5.4487	   0.9152	   0.0970
3760000000.0000	   7.5622	   5.4010	   0.9057	   0.0942
3840000000.0000	   7.4869	   5.3619	   0.9061	   0.0965
3920000000.0000	   7.4269	   5.3248	   0.9012	   0.0936
4000000000.0000	   7.3477	   5.2725	   0.9028	   0.0947
4080000000.0000	   7.2738	   5.2476	   0.9033	   0.0935
4160000000.0000	   7.2053	   5.2017	   0.9032	   0.0929
4240000000.0000	   7.1437	   5.1719	   0.9067	   0.0943
4320000000.0000	   7.0682	   5.1240	   0.9085	   0.0947
4400000000.0000	   6.9980	   5.0914	   0.9145	   0.0955
4480000000.0000	   6.9283	   5.0549	   0.9149	   0.0967
4560000000.0000	   6.8492	   5.0289	   0.9211	   0.1003
4640000000.0000	   6.7949	   5.0031	   0.9246	   0.1004
4720000000.0000	   6.7166	   4.9719	   0.9312	   0.1057
4800000000.0000	   6.6601	   4.9699	   0.9358	   0.1029
4880000000.0000	   6.6039	   4.9303	   0.9391	   0.1079
4960000000.0000	   6.5351	   4.9329	   0.9433	   0.1043
5040000000.0000	   6.5024	   4.9088	   0.9420	   0.1074
5120000000.0000	   6.4334	   4.9022	   0.9479	   0.1111
5200000000.0000	   6.3951	   4.9019	   0.9454	   0.1061
5280000000.0000	   6.3378	   4.8890	   0.9459	   0.1101
5360000000.0000	   6.2810	   4.9065	   0.9448	   0.1012
5440000000.0000	   6.2190	   4.8876	   0.9394	   0.0969
5520000000.0000	   6.1577	   4.8774	   0.9419	   0.0942
5600000000.0000	   6.1259	   4.8491	   0.9371	   0.0895
5680000000.0000	   6.0854	   4.8181	   0.9400	   0.0892
5760000000.0000	   6.0586	   4.8154	   0.9331	   0.0831
5840000000.0000	   6.0278	   4.7894	   0.9295	   0.0825
5920000000.0000	   6.0109	   4.7861	   0.9284	   0.0775
6000000000.0000	   5.9896	   4.7525	   0.9209	   0.0722
6080000000.0000	   5.9522	   4.7569	   0.9179	   0.0671
6160000000.0000	   5.9553	   4.7361	   0.9107	   0.0652
6240000000.0000	   5.9189	   4.7175	   0.9113	   0.0598
6320000000.0000	   5.9061	   4.7061	   0.9051	   0.0525
6400000000.0000	   5.8799	   4.6871	   0.8999	   0.0504
6480000000.0000	   5.8664	   4.6736	   0.8988	   0.0441
6560000000.0000	   5.8495	   4.6385	   0.8945	   0.0418
6640000000.0000	   5.8147	   4.6382	   0.8932	   0.0356
6720000000.0000	   5.8067	   4.6167	   0.8886	   0.0336
6800000000.0000	   5.7824	   4.6064	   0.8882	   0.0303
6880000000.0000	   5.7639	   4.5838	   0.8865	   0.0267
6960000000.0000	   5.7348	   4.5637	   0.8861	   0.0253
7040000000.0000	   5.7240	   4.5593	   0.8847	   0.0200
7120000000.0000	   5.6957	   4.5213	   0.8829	   0.0203
7200000000.0000	   5.6751	   4.5261	   0.8849	   0.0169
7280000000.0000	   5.6594	   4.4930	   0.8824	   0.0167
7360000000.0000	   5.6202	   4.4879	   0.8864	   0.0147
7440000000.0000	   5.6133	   4.4784	   0.8829	   0.0131
7520000000.0000	   5.5635	   4.4619	   0.8866	   0.0152
7600000000.0000	   5.5399	   4.4689	   0.8860	   0.0108
7680000000.0000	   5.4923	   4.4352	   0.8865	   0.0144
7760000000.0000	   5.4166	   4.4384	   0.8914	   0.0130
7840000000.0000	   5.3766	   4.3838	   0.8919	   0.0129
7920000000.0000	   5.3077	   4.3349	   0.8978	   0.0150
8000000000.0000	   5.2970	   4.2945	   0.8982	   0.0151
8080000000.0000	   5.2709	   4.2415	   0.9018	   0.0201
8160000000.0000	   5.2490	   4.2265	   0.9042	   0.0203
8240000000.0000	   5.2386	   4.1954	   0.9043	   0.0251
8320000000.0000	   5.2069	   4.1757	   0.9107	   0.0273
8400000000.0000	   5.1863	   4.1585	   0.9114	   0.0269
8480000000.0000	   5.1492	   4.1482	   0.9141	   0.0282
8560000000.0000	   5.1223	   4.1406	   0.9140	   0.0315
8640000000.0000	   5.0942	   4.1216	   0.9174	   0.0324
8720000000.0000	   5.0528	   4.1234	   0.9210	   0.0322
8800000000.0000	   5.0208	   4.1218	   0.9224	   0.0320
8880000000.0000	   4.9897	   4.1267	   0.9234	   0.0314
8960000000.0000	   4.9607	   4.1086	   0.9257	   0.0325
9040000000.0000	   4.9254	   4.1256	   0.9288	   0.0285
9120000000.0000	   4.9047	   4.1167	   0.9284	   0.0277
9200000000.0000	   4.8604	   4.1195	   0.9320	   0.0250
9280000000.0000	   4.8492	   4.1247	   0.9306	   0.0231
9360000000.0000	   4.8049	   4.1271	   0.9354	   0.0221
9440000000.0000	   4.7946	   4.1478	   0.9345	   0.0142
9520000000.0000	   4.7705	   4.1189	   0.9346	   0.0158
9600000000.0000	   4.7386	   4.1415	   0.9360	   0.0105
9680000000.0000	   4.7456	   4.1310	   0.9332	   0.0097
9760000000.0000	   4.7108	   4.1281	   0.9377	   0.0095
9840000000.0000	   4.6960	   4.1337	   0.9369	   0.0042
9920000000.0000	   4.6756	   4.1154	   0.9396	   0.0067
10000000000.0000	   4.6639	   4.1412	   0.9422	   0.0023
10080000000.0000	   4.6738	   4.1184	   0.9413	   0.0052
10160000000.0000	   4.6285	   4.1359	   0.9487	   0.0049
10240000000.0000	   4.6243	   4.1354	   0.9481	   0.0062
10320000000.0000	   4.5769	   4.1369	   0.9553	   0.0121
10400000000.0000	   4.5418	   4.1520	   0.9586	   0.0167
10480000000.0000	   4.4960	   4.1313	   0.9613	   0.0276
10560000000.0000	   4.4111	   4.1282	   0.9670	   0.0393
10640000000.0000	   4.3414	   4.0893	   0.9626	   0.0526
10720000000.0000	   4.2947	   4.0472	   0.9542	   0.0640
10800000000.0000	   4.2345	   3.9706	   0.9445	   0.0729
10880000000.0000	   4.2050	   3.9220	   0.9324	   0.0729
10960000000.0000	   4.1949	   3.8572	   0.9222	   0.0739
11040000000.0000	   4.1665	   3.8159	   0.9163	   0.0681
11120000000.0000	   4.1813	   3.7809	   0.9097	   0.0618
11200000000.0000	   4.1413	   3.7454	   0.9106	   0.0597
11280000000.0000	   4.1425	   3.7477	   0.9077	   0.0487
11360000000.0000	   4.1398	   3.7112	   0.9089	   0.0480
11440000000.0000	   4.0949	   3.7243	   0.9144	   0.0391
11520000000.0000	   4.1116	   3.7066	   0.9110	   0.0358
11600000000.0000	   4.0576	   3.6955	   0.9191	   0.0349
11680000000.0000	   4.0458	   3.7182	   0.9188	   0.0294
11760000000.0000	   4.0071	   3.6524	   0.9206	   0.0396
11840000000.0000	   3.9503	   3.6694	   0.9202	   0.0321
11920000000.0000	   4.0015	   3.6166	   0.9005	   0.0331
12000000000.0000	   3.9963	   3.5803	   0.8982	   0.0182
12080000000.0000	   4.0264	   3.6567	   0.9038	  -0.0050
12160000000.0000	   3.9976	   3.6479	   0.9129	  -0.0041
12240000000.0000	   3.9576	   3.6739	   0.9207	  -0.0105
12320000000.0000	   3.9504	   3.6605	   0.9224	  -0.0095
12400000000.0000	   3.9098	   3.6483	   0.9280	  -0.0093
12480000000.0000	   3.9012	   3.6493	   0.9278	  -0.0125
12560000000.0000	   3.8883	   3.6229	   0.9291	  -0.0102
12640000000.0000	   3.8627	   3.6170	   0.9317	  -0.0128
12720000000.0000	   3.8645	   3.6025	   0.9301	  -0.0138
12800000000.0000	   3.8458	   3.5890	   0.9319	  -0.0117
12880000000.0000	   3.8313	   3.5805	   0.9339	  -0.0149
12960000000.0000	   3.8377	   3.5675	   0.9324	  -0.0150
13040000000.0000	   3.8195	   3.5381	   0.9357	  -0.0143
13120000000.0000	   3.8205	   3.5589	   0.9334	  -0.0203
13200000000.0000	   3.8332	   3.5154	   0.9317	  -0.0138
13280000000.0000	   3.8008	   3.5176	   0.9354	  -0.0194
13360000000.0000	   3.8394	   3.5219	   0.9273	  -0.0195
13440000000.0000	   3.8103	   3.4824	   0.9324	  -0.0153
13520000000.0000	   3.8320	   3.5272	   0.9271	  -0.0230
13600000000.0000	   3.8610	   3.4752	   0.9238	  -0.0151
13680000000.0000	   3.8351	   3.4907	   0.9273	  -0.0207
13760000000.0000	   3.8950	   3.4825	   0.9179	  -0.0192
13840000000.0000	   3.8780	   3.4514	   0.9211	  -0.0154
13920000000.0000	   3.9153	   3.4758	   0.9144	  -0.0189
14000000000.0000	   3.9330	   3.4299	   0.9113	  -0.0098
14080000000.0000	   3.9284	   3.4691	   0.9083	  -0.0161
14160000000.0000	   3.9795	   3.4455	   0.8986	  -0.0119
14240000000.0000	   3.9489	   3.4290	   0.9014	  -0.0116
14320000000.0000	   3.9883	   3.4362	   0.8938	  -0.0136
14400000000.0000	   3.9906	   3.4061	   0.8961	  -0.0116
14480000000.0000	   3.9851	   3.4061	   0.8974	  -0.0113
14560000000.0000	   3.9789	   3.3817	   0.8988	  -0.0065
14640000000.0000	   3.9682	   3.3571	   0.8968	  -0.0010
14720000000.0000	   3.9626	   3.3146	   0.8932	   0.0051
14800000000.0000	   3.9589	   3.2959	   0.8917	   0.0047
14880000000.0000	   3.9680	   3.2572	   0.8888	   0.0075
14960000000.0000	   3.9396	   3.2531	   0.8944	   0.0048
15040000000.0000	   3.9669	   3.2348	   0.8906	   0.0064
15120000000.0000	   3.9268	   3.2114	   0.8967	   0.0087
15200000000.0000	   3.9374	   3.2347	   0.8953	   0.0032
15280000000.0000	   3.9273	   3.1884	   0.8975	   0.0102
15360000000.0000	   3.8920	   3.2117	   0.9014	   0.0032
15440000000.0000	   3.9128	   3.1903	   0.8981	   0.0069
15520000000.0000	   3.8576	   3.1911	   0.9062	   0.0033
15600000000.0000	   3.8951	   3.2109	   0.9001	   0.0004
15680000000.0000	   3.8653	   3.1607	   0.9053	   0.0060
15760000000.0000	   3.8520	   3.2219	   0.9059	  -0.0053
15840000000.0000	   3.8786	   3.1882	   0.9010	   0.0006
15920000000.0000	   3.8406	   3.2074	   0.9063	  -0.0049
