frequency	e'	e''	u'	u''
2000000000.0000	  10.4494	   5.1511	   1.2662	   0.0583
2080000000.0000	  10.3234	   5.1298	   1.2602	   0.0605
2160000000.0000	  10.2331	   5.1162	   1.2671	   0.0518
2240000000.0000	  10.1476	   5.0730	   1.2652	   0.0523
2320000000.0000	  10.0248	   5.0681	   1.2677	   0.0420
2400000000.0000	   9.9717	   5.0479	   1.2630	   0.0349
2480000000.0000	   9.8675	   5.0225	   1.2569	   0.0369
2560000000.0000	   9.8025	   5.0132	   1.2587	   0.0266
2640000000.0000	   9.7300	   4.9928	   1.2440	   0.0308
2720000000.0000	   9.6536	   4.9897	   1.2512	   0.0243
2800000000.0000	   9.6171	   4.9741	   1.2378	   0.0201
2880000000.0000	   9.5381	   4.9624	   1.2357	   0.0212
2960000000.0000	   9.5050	   4.9600	   1.2314	   0.0119
3040000000.0000	   9.4391	   4.9294	   1.2270	   0.0169
3120000000.0000	   9.3805	   4.9425	   1.2271	   0.0089
3200000000.0000	   9.3281	   4.9268	   1.2147	   0.0086
3280000000.0000	   9.2707	   4.9418	   1.2181	   0.0120
3360000000.0000	   9.2317	   4.9291	   1.2106	   0.0049
3440000000.0000	   9.1450	   4.9257	   1.2064	   0.0099
3520000000.0000	   9.1090	   4.9476	   1.2047	   0.0089
3600000000.0000	   9.0390	   4.9206	   1.2014	   0.0106
3680000000.0000	   8.9682	   4.9317	   1.2035	   0.0087
3760000000.0000	   8.9011	   4.9281	   1.1966	   0.0079
3840000000.0000	   8.8247	   4.9325	   1.1981	   0.0109
3920000000.0000	   8.7652	   4.9377	   1.1947	   0.0088
4000000000.0000	   8.6794	   4.9266	   1.1979	   0.0101
4080000000.0000	   8.6050	   4.9440	   1.1987	   0.0101
4160000000.0000	   8.5246	   4.9432	   1.2015	   0.0106
4240000000.0000	   8.4609	   4.9544	   1.2059	   0.0110
4320000000.0000	   8.3754	   4.9394	   1.2085	   0.0127
4400000000.0000	   8.2956	   4.9468	   1.2155	   0.0128
4480000000.0000	   8.2132	   4.9505	   1.2171	   0.0132
4560000000.0000	   8.1199	   4.9567	   1.2247	   0.0159
4640000000.0000	   8.0519	   4.9685	   1.2285	   0.0159
4720000000.0000	   7.9560	   4.9680	   1.2365	   0.0201
4800000000.0000	   7.8849	   5.0034	   1.2419	   0.0171
4880000000.0000	   7.8112	   4.9874	   1.2468	   0.0208
4960000000.0000	   7.7260	   5.0242	   1.2530	   0.0165
5040000000.0000	   7.6785	   5.0219	   1.2529	   0.0182
5120000000.0000	   7.5891	   5.0381	   1.2612	   0.0203
5200000000.0000	   7.5359	   5.0586	   1.2613	   0.0152
5280000000.0000	   7.4672	   5.0566	   1.2639	   0.0185
5360000000.0000	   7.4099	   5.0884	   1.2655	   0.0119
5440000000.0000	   7.3579	   5.0909	   1.2624	   0.0108
5520000000.0000	   7.3033	   5.1154	   1.2638	   0.0092
5600000000.0000	   7.2604	   5.1255	   1.2581	   0.0066
5680000000.0000	   7.2081	   5.1273	   1.2604	   0.0049
5760000000.0000	   7.1647	   5.1499	   1.2536	  -0.0002
5840000000.0000	   7.1127	   5.1564	   1.2517	  -0.0018
5920000000.0000	   7.0820	   5.1788	   1.2493	  -0.0065
6000000000.0000	   7.0432	   5.1680	   1.2443	  -0.0107
6080000000.0000	   6.9838	   5.2046	   1.2418	  -0.0166
6160000000.0000	   6.9787	   5.1967	   1.2355	  -0.0169
6240000000.0000	   6.9146	   5.2060	   1.2376	  -0.0227
6320000000.0000	   6.8876	   5.2106	   1.2313	  -0.0289
6400000000.0000	   6.8362	   5.2178	   1.2285	  -0.0299
6480000000.0000	   6.8063	   5.2255	   1.2280	  -0.0365
6560000000.0000	   6.7712	   5.1988	   1.2249	  -0.0374
6640000000.0000	   6.6984	   5.2203	   1.2255	  -0.0432
6720000000.0000	   6.6741	   5.2221	   1.2217	  -0.0447
6800000000.0000	   6.6213	   5.2254	   1.2225	  -0.0471
6880000000.0000	   6.5757	   5.2126	   1.2218	  -0.0506
6960000000.0000	   6.5229	   5.2088	   1.2230	  -0.0519
7040000000.0000	   6.4749	   5.2168	   1.2233	  -0.0565
7120000000.0000	   6.4245	   5.1897	   1.2234	  -0.0566
7200000000.0000	   6.3672	   5.2038	   1.2271	  -0.0591
7280000000.0000	   6.3190	   5.1746	   1.2279	  -0.0586
7360000000.0000	   6.2478	   5.1749	   1.2335	  -0.0619
7440000000.0000	   6.2074	   5.1620	   1.2328	  -0.0619
7520000000.0000	   6.1280	   5.1446	   1.2397	  -0.0609
7600000000.0000	   6.0798	   5.1385	   1.2413	  -0.0637
7680000000.0000	   6.0147	   5.0923	   1.2465	  -0.0595
7760000000.0000	   5.9344	   5.0959	   1.2526	  -0.0614
7840000000.0000	   5.8901	   5.0536	   1.2563	  -0.0586
7920000000.0000	   5.7968	   5.0436	   1.2651	  -0.0589
8000000000.0000	   5.7486	   5.0254	   1.2673	  -0.0582
8080000000.0000	   5.6678	   4.9909	   1.2759	  -0.0545
8160000000.0000	   5.6050	   4.9843	   1.2809	  -0.0560
8240000000.0000	   5.5448	   4.9469	   1.2863	  -0.0505
8320000000.0000	   5.4658	   4.9295	   1.2968	  -0.0512
8400000000.0000	   5.4073	   4.8994	   1.3012	  -0.0502
8480000000.0000	   5.3226	   4.8885	   1.3096	  -0.0499
8560000000.0000	   5.2634	   4.8691	   1.3135	  -0.0469
8640000000.0000	   5.1958	   4.8376	   1.3220	  -0.0456
8720000000.0000	   5.1109	   4.8267	   1.3300	  -0.0463
8800000000.0000	   5.0399	   4.8150	   1.3367	  -0.0463
8880000000.0000	   4.9679	   4.8084	   1.3424	  -0.0469
8960000000.0000	   4.9088	   4.7775	   1.3492	  -0.0454
9040000000.0000	   4.8279	   4.7743	   1.3566	  -0.0492
9120000000.0000	   4.7734	   4.7544	   1.3601	  -0.0485
9200000000.0000	   4.6946	   4.7320	   1.3681	  -0.0509
9280000000.0000	   4.6417	   4.7211	   1.3704	  -0.0503
9360000000.0000	   4.5638	   4.6928	   1.3805	  -0.0498
9440000000.0000	   4.5118	   4.6931	   1.3822	  -0.0557
9520000000.0000	   4.4610	   4.6344	   1.3865	  -0.0508
9600000000.0000	   4.3931	   4.6236	   1.3914	  -0.0535
9680000000.0000	   4.3712	   4.5848	   1.3912	  -0.0484
9760000000.0000	   4.3062	   4.5420	   1.4010	  -0.0462
9840000000.0000	   4.2622	   4.5011	   1.4026	  -0.0460
9920000000.0000	   4.2124	   4.4436	   1.4098	  -0.0389
10000000000.0000	   4.1759	   4.4245	   1.4128	  -0.0392
10080000000.0000	   4.1650	   4.3563	   1.4152	  -0.0295
10160000000.0000	   4.1059	   4.3119	   1.4237	  -0.0264
10240000000.0000	   4.0906	   4.2554	   1.4227	  -0.0186
10320000000.0000	   4.0444	   4.1893	   1.4321	  -0.0094
10400000000.0000	   4.0195	   4.1413	   1.4345	  -0.0028
10480000000.0000	   3.9975	   4.0675	   1.4391	   0.0085
10560000000.0000	   3.9498	   4.0141	   1.4489	   0.0167
10640000000.0000	   3.9228	   3.9396	   1.4523	   0.0291
10720000000.0000	   3.9033	   3.8859	   1.4560	   0.0390
10800000000.0000	   3.8764	   3.8111	   1.4615	   0.0518
10880000000.0000	   3.8495	   3.7620	   1.4639	   0.0601
10960000000.0000	   3.8386	   3.6882	   1.4661	   0.0755
11040000000.0000	   3.8097	   3.6355	   1.4679	   0.0832
11120000000.0000	   3.8156	   3.5796	   1.4644	   0.0921
11200000000.0000	   3.7800	   3.5146	   1.4696	   0.1050
11280000000.0000	   3.7781	   3.4972	   1.4630	   0.1054
11360000000.0000	   3.7800	   3.4341	   1.4628	   0.1176
11440000000.0000	   3.7466	   3.4252	   1.4650	   0.1138
11520000000.0000	   3.7719	   3.3898	   1.4554	   0.1199
11600000000.0000	   3.7269	   3.3631	   1.4652	   0.1209
11680000000.0000	   3.7221	   3.3720	   1.4609	   0.1176
11760000000.0000	   3.6876	   3.2959	   1.4673	   0.1356
11840000000.0000	   3.6311	   3.3104	   1.4680	   0.1259
11920000000.0000	   3.6654	   3.2540	   1.4470	   0.1379
12000000000.0000	   3.6306	   3.2074	   1.4514	   0.1265
12080000000.0000	   3.6313	   3.2370	   1.4586	   0.1064
12160000000.0000	   3.5915	   3.1834	   1.4762	   0.1198
12240000000.0000	   3.5527	   3.1591	   1.4872	   0.1246
12320000000.0000	   3.5439	   3.0960	   1.4900	   0.1442
12400000000.0000	   3.5170	   3.0369	   1.4969	   0.1605
12480000000.0000	   3.5224	   2.9819	   1.4895	   0.1739
12560000000.0000	   3.5278	   2.9164	   1.4852	   0.1937
12640000000.0000	   3.5328	   2.8668	   1.4776	   0.2050
12720000000.0000	   3.5639	   2.8164	   1.4643	   0.2173
12800000000.0000	   3.5830	   2.7648	   1.4539	   0.2313
12880000000.0000	   3.6086	   2.7234	   1.4418	   0.2369
12960000000.0000	   3.6506	   2.6821	   1.4244	   0.2448
13040000000.0000	   3.6727	   2.6316	   1.4143	   0.2524
13120000000.0000	   3.7107	   2.6211	   1.3975	   0.2498
13200000000.0000	   3.7572	   2.5670	   1.3809	   0.2607
13280000000.0000	   3.7672	   2.5564	   1.3740	   0.2548
13360000000.0000	   3.8391	   2.5430	   1.3494	   0.2560
13440000000.0000	   3.8480	   2.5012	   1.3455	   0.2613
