frequency	e'	e''	u'	u''
2000000000.0000	   5.5579	   1.9227	   2.8922	  -1.7208
2080000000.0000	   5.4796	   1.9464	   2.5848	  -1.6528
2160000000.0000	   5.4111	   1.9563	   2.3133	  -1.5816
2240000000.0000	   5.3395	   1.9567	   2.0661	  -1.5304
2320000000.0000	   5.2633	   1.9783	   1.8420	  -1.4764
2400000000.0000	   5.2211	   1.9734	   1.6506	  -1.4330
2480000000.0000	   5.1593	   1.9766	   1.4751	  -1.4072
2560000000.0000	   5.1147	   1.9788	  -1.3177	   1.3709
2640000000.0000	   5.0768	   1.9700	  -1.1913	   1.3565
2720000000.0000	   5.0250	   1.9792	  -1.0588	   1.3359
2800000000.0000	   5.0131	   1.9711	  -0.9660	   1.3148
2880000000.0000	   4.9655	   1.9708	  -0.8710	   1.3112
2960000000.0000	   4.9480	   1.9776	  -0.7983	   1.2850
3040000000.0000	   4.9146	   1.9657	  -0.7334	   1.2836
3120000000.0000	   4.8776	   1.9867	  -0.6679	   1.2626
3200000000.0000	   4.8601	   1.9816	  -0.6350	   1.2425
3280000000.0000	   4.8186	   1.9850	  -0.5879	   1.2384
3360000000.0000	   4.7933	   1.9939	  -0.5611	   1.2100
3440000000.0000	   4.7523	   1.9845	  -0.5358	   1.2005
3520000000.0000	   4.7261	   1.9936	  -0.5121	   1.1745
3600000000.0000	   4.6922	   1.9777	  -0.5047	   1.1527
3680000000.0000	   4.6484	   1.9776	  -0.4852	   1.1273
3760000000.0000	   4.6266	   1.9780	  -0.4843	   1.0890
3840000000.0000	   4.5915	   1.9620	  -0.4789	   1.0573
3920000000.0000	   4.5627	   1.9647	  -0.4760	   1.0130
4000000000.0000	   4.5315	   1.9553	  -0.4676	   0.9686
4080000000.0000	   4.5031	   1.9557	  -0.4541	   0.9133
4160000000.0000	   4.4749	   1.9483	  -0.4404	   0.8544
4240000000.0000	   4.4449	   1.9412	  -0.4152	   0.8037
4320000000.0000	   4.4138	   1.9392	  -0.3847	   0.7497
4400000000.0000	   4.3831	   1.9351	  -0.3495	   0.6982
4480000000.0000	   4.3516	   1.9366	  -0.3125	   0.6493
4560000000.0000	   4.3189	   1.9422	  -0.2689	   0.6077
4640000000.0000	   4.2943	   1.9438	  -0.2241	   0.5642
4720000000.0000	   4.2558	   1.9495	  -0.1743	   0.5322
4800000000.0000	   4.2312	   1.9621	  -0.1267	   0.4921
4880000000.0000	   4.1967	   1.9613	  -0.0801	   0.4685
4960000000.0000	   4.1619	   1.9810	  -0.0314	   0.4369
5040000000.0000	   4.1407	   1.9784	   0.0088	   0.4155
5120000000.0000	   4.0980	   1.9924	   0.0598	   0.4000
5200000000.0000	   4.0756	   2.0037	   0.0964	   0.3735
5280000000.0000	   4.0441	   2.0011	   0.1381	   0.3638
5360000000.0000	   4.0145	   2.0189	   0.1760	   0.3411
5440000000.0000	   3.9907	   2.0183	   0.2022	   0.3284
5520000000.0000	   3.9591	   2.0337	   0.2402	   0.3201
5600000000.0000	   3.9468	   2.0424	   0.2628	   0.3031
5680000000.0000	   3.9173	   2.0358	   0.2949	   0.2967
5760000000.0000	   3.8941	   2.0593	   0.3163	   0.2793
5840000000.0000	   3.8735	   2.0568	   0.3349	   0.2709
5920000000.0000	   3.8561	   2.0687	   0.3647	   0.2584
6000000000.0000	   3.8352	   2.0646	   0.3781	   0.2442
6080000000.0000	   3.8081	   2.0738	   0.4000	   0.2340
6160000000.0000	   3.7949	   2.0771	   0.4176	   0.2268
6240000000.0000	   3.7727	   2.0711	   0.4396	   0.2154
6320000000.0000	   3.7511	   2.0750	   0.4569	   0.2047
6400000000.0000	   3.7302	   2.0714	   0.4702	   0.1992
6480000000.0000	   3.7107	   2.0677	   0.4916	   0.1934
6560000000.0000	   3.6866	   2.0605	   0.5083	   0.1903
6640000000.0000	   3.6616	   2.0644	   0.5234	   0.1854
6720000000.0000	   3.6438	   2.0540	   0.5354	   0.1876
6800000000.0000	   3.6160	   2.0461	   0.5476	   0.1902
6880000000.0000	   3.5923	   2.0319	   0.5550	   0.1913
6960000000.0000	   3.5668	   2.0125	   0.5601	   0.1962
7040000000.0000	   3.5550	   1.9991	   0.5574	   0.1904
