frequency	e'	e''	u'	u''
2000000000.0000	   5.3072	   1.9464	  -1.2185	   2.0459
2080000000.0000	   5.2619	   1.9627	  -1.0941	   1.9247
2160000000.0000	   5.2276	   1.9657	  -0.9828	   1.8089
2240000000.0000	   5.1865	   1.9678	  -0.8830	   1.7143
2320000000.0000	   5.1396	   1.9941	  -0.7926	   1.6101
2400000000.0000	   5.1201	   1.9971	  -0.7202	   1.5231
2480000000.0000	   5.0769	   2.0105	  -0.6512	   1.4462
2560000000.0000	   5.0476	   2.0235	  -0.5884	   1.3602
2640000000.0000	   5.0203	   2.0269	  -0.5436	   1.2955
2720000000.0000	   4.9772	   2.0484	  -0.4801	   1.2215
2800000000.0000	   4.9712	   2.0497	  -0.4468	   1.1519
2880000000.0000	   4.9264	   2.0574	  -0.3979	   1.0988
2960000000.0000	   4.9110	   2.0730	  -0.3631	   1.0250
3040000000.0000	   4.8772	   2.0660	  -0.3248	   0.9802
3120000000.0000	   4.8436	   2.0923	  -0.2787	   0.9185
3200000000.0000	   4.8279	   2.0915	  -0.2584	   0.8630
3280000000.0000	   4.7897	   2.0978	  -0.2152	   0.8244
3360000000.0000	   4.7664	   2.1129	  -0.1889	   0.7686
3440000000.0000	   4.7299	   2.1097	  -0.1562	   0.7325
3520000000.0000	   4.7070	   2.1257	  -0.1216	   0.6878
3600000000.0000	   4.6746	   2.1183	  -0.0973	   0.6510
3680000000.0000	   4.6306	   2.1270	  -0.0573	   0.6163
3760000000.0000	   4.6078	   2.1353	  -0.0337	   0.5771
3840000000.0000	   4.5687	   2.1303	  -0.0046	   0.5498
3920000000.0000	   4.5347	   2.1416	   0.0214	   0.5191
4000000000.0000	   4.4978	   2.1401	   0.0529	   0.4951
4080000000.0000	   4.4632	   2.1505	   0.0833	   0.4675
4160000000.0000	   4.4282	   2.1518	   0.1076	   0.4392
4240000000.0000	   4.3907	   2.1543	   0.1365	   0.4220
4320000000.0000	   4.3478	   2.1621	   0.1650	   0.4005
4400000000.0000	   4.3033	   2.1652	   0.1952	   0.3804
4480000000.0000	   4.2548	   2.1729	   0.2217	   0.3602
4560000000.0000	   4.2051	   2.1823	   0.2526	   0.3442
4640000000.0000	   4.1602	   2.1813	   0.2821	   0.3246
4720000000.0000	   4.1015	   2.1859	   0.3163	   0.3125
4800000000.0000	   4.0581	   2.1942	   0.3457	   0.2913
4880000000.0000	   4.0036	   2.1831	   0.3768	   0.2834
4960000000.0000	   3.9523	   2.1931	   0.4075	   0.2646
5040000000.0000	   3.9167	   2.1779	   0.4311	   0.2570
5120000000.0000	   3.8599	   2.1773	   0.4662	   0.2518
5200000000.0000	   3.8258	   2.1753	   0.4869	   0.2358
5280000000.0000	   3.7856	   2.1564	   0.5138	   0.2358
5360000000.0000	   3.7482	   2.1584	   0.5369	   0.2208
5440000000.0000	   3.7183	   2.1414	   0.5491	   0.2158
