frequency	e'	e''	u'	u''
2000000000.0000	  15.8321	  21.5604	   1.2023	   0.3211
2080000000.0000	  15.5079	  21.0782	   1.1906	   0.3194
2160000000.0000	  15.2565	  20.7262	   1.1936	   0.3072
2240000000.0000	  15.0430	  20.3242	   1.1891	   0.3035
2320000000.0000	  14.7772	  19.9720	   1.1859	   0.2914
2400000000.0000	  14.6279	  19.6760	   1.1773	   0.2837
2480000000.0000	  14.3995	  19.3336	   1.1681	   0.2848
2560000000.0000	  14.2642	  19.1194	   1.1615	   0.2734
2640000000.0000	  14.0907	  18.8147	   1.1436	   0.2825
2720000000.0000	  13.9159	  18.6608	   1.1417	   0.2746
2800000000.0000	  13.8119	  18.4467	   1.1219	   0.2764
2880000000.0000	  13.5956	  18.2976	   1.1135	   0.2775
2960000000.0000	  13.4890	  18.2153	   1.0957	   0.2704
3040000000.0000	  13.2942	  18.0466	   1.0788	   0.2765
3120000000.0000	  13.0717	  18.0458	   1.0643	   0.2672
3200000000.0000	  12.8625	  17.9229	   1.0350	   0.2666
3280000000.0000	  12.4901	  17.9198	   1.0253	   0.2627
3360000000.0000	  12.2205	  17.8787	   0.9982	   0.2436
3440000000.0000	  11.7697	  17.6944	   0.9789	   0.2371
3520000000.0000	  11.3339	  17.6022	   0.9675	   0.2153
3600000000.0000	  10.9291	  17.3202	   0.9554	   0.1959
3680000000.0000	  10.4827	  17.0337	   0.9566	   0.1728
3760000000.0000	  10.1440	  16.6567	   0.9526	   0.1531
3840000000.0000	   9.7940	  16.2640	   0.9631	   0.1419
3920000000.0000	   9.5490	  15.9146	   0.9710	   0.1267
4000000000.0000	   9.3359	  15.5303	   0.9815	   0.1198
4080000000.0000	   9.1265	  15.1880	   0.9918	   0.1163
4160000000.0000	   8.9426	  14.8485	   1.0033	   0.1138
4240000000.0000	   8.7860	  14.5792	   1.0149	   0.1106
4320000000.0000	   8.6480	  14.2605	   1.0222	   0.1104
4400000000.0000	   8.4918	  14.0124	   1.0336	   0.1083
4480000000.0000	   8.3770	  13.7325	   1.0381	   0.1100
4560000000.0000	   8.2115	  13.4877	   1.0491	   0.1110
4640000000.0000	   8.1047	  13.2748	   1.0552	   0.1100
4720000000.0000	   7.9525	  13.0323	   1.0658	   0.1135
4800000000.0000	   7.8207	  12.8817	   1.0738	   0.1095
4880000000.0000	   7.7297	  12.6596	   1.0800	   0.1114
4960000000.0000	   7.5798	  12.5127	   1.0883	   0.1064
5040000000.0000	   7.5154	  12.3436	   1.0898	   0.1062
5120000000.0000	   7.3795	  12.1749	   1.0993	   0.1059
5200000000.0000	   7.2984	  12.0527	   1.1006	   0.0996
5280000000.0000	   7.2095	  11.8759	   1.1049	   0.1014
5360000000.0000	   7.1170	  11.7778	   1.1079	   0.0928
5440000000.0000	   7.0478	  11.6282	   1.1075	   0.0909
5520000000.0000	   6.9745	  11.5226	   1.1096	   0.0866
5600000000.0000	   6.9373	  11.3892	   1.1057	   0.0839
5680000000.0000	   6.8642	  11.2509	   1.1100	   0.0809
5760000000.0000	   6.8254	  11.1533	   1.1048	   0.0751
5840000000.0000	   6.7692	  11.0194	   1.1053	   0.0734
5920000000.0000	   6.7418	  10.9200	   1.1048	   0.0682
6000000000.0000	   6.7291	  10.7812	   1.1014	   0.0646
6080000000.0000	   6.6592	  10.6834	   1.1013	   0.0600
6160000000.0000	   6.6971	  10.5771	   1.0964	   0.0594
6240000000.0000	   6.6378	  10.4453	   1.1006	   0.0554
6320000000.0000	   6.6464	  10.3486	   1.0957	   0.0507
6400000000.0000	   6.6171	  10.2242	   1.0958	   0.0513
6480000000.0000	   6.6165	  10.1379	   1.0959	   0.0461
6560000000.0000	   6.6393	   9.9949	   1.0930	   0.0479
6640000000.0000	   6.5920	   9.8967	   1.0951	   0.0451
6720000000.0000	   6.6111	   9.7936	   1.0924	   0.0469
6800000000.0000	   6.5861	   9.7024	   1.0946	   0.0459
6880000000.0000	   6.5932	   9.5856	   1.0939	   0.0469
6960000000.0000	   6.5761	   9.4778	   1.0956	   0.0488
7040000000.0000	   6.5802	   9.4003	   1.0944	   0.0478
7120000000.0000	   6.5807	   9.2648	   1.0944	   0.0526
7200000000.0000	   6.5555	   9.1956	   1.0969	   0.0527
7280000000.0000	   6.5618	   9.0764	   1.0962	   0.0578
7360000000.0000	   6.5197	   8.9899	   1.1006	   0.0584
7440000000.0000	   6.5430	   8.8997	   1.0973	   0.0622
7520000000.0000	   6.4896	   8.7833	   1.1028	   0.0672
7600000000.0000	   6.4921	   8.7148	   1.1012	   0.0676
7680000000.0000	   6.4830	   8.5713	   1.1030	   0.0768
7760000000.0000	   6.4232	   8.5040	   1.1074	   0.0779
7840000000.0000	   6.4362	   8.3906	   1.1067	   0.0835
7920000000.0000	   6.3595	   8.3007	   1.1131	   0.0872
8000000000.0000	   6.3543	   8.2282	   1.1118	   0.0902
8080000000.0000	   6.2994	   8.1055	   1.1174	   0.0976
8160000000.0000	   6.2557	   8.0504	   1.1191	   0.0980
8240000000.0000	   6.2344	   7.9400	   1.1202	   0.1062
8320000000.0000	   6.1713	   7.8466	   1.1272	   0.1089
8400000000.0000	   6.1464	   7.7535	   1.1272	   0.1120
8480000000.0000	   6.0833	   7.6733	   1.1318	   0.1148
8560000000.0000	   6.0643	   7.5908	   1.1312	   0.1197
8640000000.0000	   6.0270	   7.5008	   1.1349	   0.1225
8720000000.0000	   5.9707	   7.4251	   1.1389	   0.1246
8800000000.0000	   5.9365	   7.3617	   1.1408	   0.1259
8880000000.0000	   5.9024	   7.3034	   1.1415	   0.1274
8960000000.0000	   5.8831	   7.2215	   1.1426	   0.1307
9040000000.0000	   5.8373	   7.1803	   1.1451	   0.1280
9120000000.0000	   5.8335	   7.1152	   1.1426	   0.1302
9200000000.0000	   5.7961	   7.0586	   1.1443	   0.1287
9280000000.0000	   5.8041	   7.0196	   1.1399	   0.1297
9360000000.0000	   5.7619	   6.9536	   1.1437	   0.1310
9440000000.0000	   5.7662	   6.9561	   1.1381	   0.1232
9520000000.0000	   5.7907	   6.8611	   1.1335	   0.1291
9600000000.0000	   5.7721	   6.8431	   1.1312	   0.1254
9680000000.0000	   5.8340	   6.7913	   1.1214	   0.1284
9760000000.0000	   5.8157	   6.7370	   1.1227	   0.1290
9840000000.0000	   5.8445	   6.7031	   1.1148	   0.1265
9920000000.0000	   5.8508	   6.6337	   1.1135	   0.1306
10000000000.0000	   5.8777	   6.6340	   1.1073	   0.1261
10080000000.0000	   5.9496	   6.5631	   1.0984	   0.1309
10160000000.0000	   5.9302	   6.5344	   1.0988	   0.1286
10240000000.0000	   5.9978	   6.4905	   1.0873	   0.1301
10320000000.0000	   5.9912	   6.4339	   1.0880	   0.1324
10400000000.0000	   6.0278	   6.4146	   1.0811	   0.1306
10480000000.0000	   6.0592	   6.3525	   1.0770	   0.1334
10560000000.0000	   6.0244	   6.3310	   1.0809	   0.1310
10640000000.0000	   6.0357	   6.2806	   1.0771	   0.1326
10720000000.0000	   6.0415	   6.2619	   1.0760	   0.1315
10800000000.0000	   6.0293	   6.2084	   1.0764	   0.1325
10880000000.0000	   6.0105	   6.2065	   1.0762	   0.1278
10960000000.0000	   6.0158	   6.1577	   1.0758	   0.1304
11040000000.0000	   5.9805	   6.1413	   1.0781	   0.1264
11120000000.0000	   5.9883	   6.1250	   1.0757	   0.1240
