frequency	e'	e''	u'	u''
2000000000.0000	   9.6821	  13.7839	   1.2278	   0.1260
2080000000.0000	   9.4271	  13.4669	   1.2209	   0.1241
2160000000.0000	   9.2211	  13.1806	   1.2237	   0.1142
2240000000.0000	   9.0305	  12.8865	   1.2282	   0.1141
2320000000.0000	   8.8155	  12.6260	   1.2247	   0.0998
2400000000.0000	   8.6732	  12.3771	   1.2218	   0.0958
2480000000.0000	   8.4792	  12.1314	   1.2170	   0.0944
2560000000.0000	   8.3483	  11.9181	   1.2138	   0.0815
2640000000.0000	   8.1945	  11.6787	   1.2024	   0.0904
2720000000.0000	   8.0489	  11.5008	   1.2071	   0.0798
2800000000.0000	   7.9587	  11.2871	   1.1938	   0.0798
2880000000.0000	   7.8017	  11.1031	   1.1957	   0.0794
2960000000.0000	   7.7283	  10.9453	   1.1855	   0.0700
3040000000.0000	   7.6047	  10.7351	   1.1847	   0.0788
3120000000.0000	   7.4909	  10.6108	   1.1823	   0.0672
3200000000.0000	   7.4105	  10.4190	   1.1664	   0.0701
3280000000.0000	   7.2773	  10.2939	   1.1733	   0.0754
3360000000.0000	   7.2259	  10.1526	   1.1600	   0.0650
3440000000.0000	   7.0940	   9.9688	   1.1567	   0.0760
3520000000.0000	   7.0079	   9.8768	   1.1531	   0.0721
3600000000.0000	   6.9336	   9.7000	   1.1469	   0.0761
3680000000.0000	   6.8070	   9.5813	   1.1507	   0.0749
3760000000.0000	   6.7366	   9.4484	   1.1378	   0.0716
3840000000.0000	   6.6227	   9.3076	   1.1398	   0.0792
3920000000.0000	   6.5338	   9.2039	   1.1363	   0.0753
4000000000.0000	   6.4450	   9.0584	   1.1364	   0.0762
4080000000.0000	   6.3323	   8.9489	   1.1383	   0.0785
4160000000.0000	   6.2466	   8.8316	   1.1371	   0.0758
4240000000.0000	   6.1535	   8.7190	   1.1430	   0.0800
4320000000.0000	   6.0549	   8.5992	   1.1461	   0.0787
4400000000.0000	   5.9671	   8.4960	   1.1512	   0.0783
4480000000.0000	   5.8629	   8.3796	   1.1550	   0.0811
4560000000.0000	   5.7652	   8.2849	   1.1625	   0.0808
4640000000.0000	   5.6850	   8.1848	   1.1671	   0.0835
4720000000.0000	   5.5775	   8.0835	   1.1770	   0.0866
4800000000.0000	   5.4976	   8.0176	   1.1819	   0.0836
4880000000.0000	   5.4123	   7.9111	   1.1903	   0.0893
4960000000.0000	   5.3168	   7.8540	   1.1967	   0.0834
5040000000.0000	   5.2677	   7.7663	   1.1979	   0.0879
