frequency	e'	e''	u'	u''
2000000000.0000	   7.4751	   9.9214	   1.1586	   0.1021
2080000000.0000	   7.2702	   9.7044	   1.1540	   0.0996
2160000000.0000	   7.1000	   9.5071	   1.1599	   0.0898
2240000000.0000	   6.9433	   9.3015	   1.1641	   0.0879
2320000000.0000	   6.7680	   9.1165	   1.1645	   0.0749
2400000000.0000	   6.6538	   8.9420	   1.1616	   0.0715
2480000000.0000	   6.5007	   8.7634	   1.1586	   0.0709
2560000000.0000	   6.3933	   8.6115	   1.1577	   0.0603
2640000000.0000	   6.2718	   8.4434	   1.1469	   0.0677
2720000000.0000	   6.1552	   8.3125	   1.1520	   0.0584
2800000000.0000	   6.0897	   8.1625	   1.1390	   0.0582
2880000000.0000	   5.9701	   8.0262	   1.1400	   0.0589
2960000000.0000	   5.9089	   7.9158	   1.1308	   0.0499
3040000000.0000	   5.8207	   7.7630	   1.1286	   0.0565
3120000000.0000	   5.7342	   7.6755	   1.1274	   0.0470
3200000000.0000	   5.6784	   7.5445	   1.1114	   0.0479
3280000000.0000	   5.5813	   7.4459	   1.1152	   0.0543
3360000000.0000	   5.5357	   7.3454	   1.1044	   0.0443
3440000000.0000	   5.4471	   7.2200	   1.0990	   0.0523
3520000000.0000	   5.3819	   7.1514	   1.0958	   0.0493
3600000000.0000	   5.3261	   7.0305	   1.0886	   0.0516
3680000000.0000	   5.2382	   6.9433	   1.0899	   0.0503
3760000000.0000	   5.1811	   6.8529	   1.0789	   0.0464
3840000000.0000	   5.1018	   6.7541	   1.0785	   0.0511
3920000000.0000	   5.0384	   6.6752	   1.0745	   0.0477
4000000000.0000	   4.9667	   6.5768	   1.0751	   0.0480
4080000000.0000	   4.8916	   6.5023	   1.0748	   0.0476
4160000000.0000	   4.8227	   6.4169	   1.0740	   0.0451
4240000000.0000	   4.7579	   6.3395	   1.0792	   0.0470
4320000000.0000	   4.6880	   6.2526	   1.0802	   0.0447
4400000000.0000	   4.6171	   6.1777	   1.0865	   0.0439
4480000000.0000	   4.5459	   6.0998	   1.0882	   0.0445
4560000000.0000	   4.4731	   6.0297	   1.0943	   0.0440
4640000000.0000	   4.4139	   5.9623	   1.0986	   0.0443
4720000000.0000	   4.3366	   5.8887	   1.1066	   0.0464
4800000000.0000	   4.2786	   5.8436	   1.1114	   0.0425
4880000000.0000	   4.2196	   5.7661	   1.1176	   0.0465
